Id_ref,jaccard,match,norm_title_str
Dosh,"{'id': 'csa-ps-200913912', 'value': 'solr'}",true,tacticalinnovationdemocraticgovernanceandmixedmotivespopularmovementresilienceinperuandecuador
Sales1997a,"{'id': '', 'value': 'solr'}",false,genderandprotestantisminnorthernirelandunionismprotestantismandloyalisminnorthernireland
Gammon1998b,"{'id': '', 'value': 'solr'}",false,recreationalphysicalactivityandbreastcancerriskamongwomenunderage45years
Brady,"{'id': '', 'value': 'solr'}",false,inquirydiversetoolssharedstandardslanhammdrowmanandlittlefield
Drew1996b,"{'id': '', 'value': 'solr'}",false,movingtowardsactivelivingunderstandingthecontextualnatureofbarrierstophysicalactivity
Radcliffe,"{'id': '', 'value': 'solr'}",false,vivawomenandpopularprotestinlatinamerica
Harper2000b,"{'id': '', 'value': 'solr'}",false,thereisnowaytoprepareforthisteachinginfirstnationsschoolsinnorthernontarioissuesandconcerns
Hylton,"{'id': '', 'value': 'solr'}",false,forrestandsinclairthomson2007revolutionaryhorizonspastandpresentinbolivianpolitics
Sawyer,"{'id': '', 'value': 'solr'}",false,susana2004crudechroniclesindigenouspoliticsmultinationaloilandneoliberalisminecuador
Neumayer2003a,"{'id': 'csa-ps-200312012', 'value': 'solr'}",true,thedeterminantsofaidallocationbyregionalmultilateraldevelopmentbanksandunitednationsagencies
Schumpeter1911,"{'id': 'fes-bib-686245', 'value': 0.63078840444423412}",false,theoryofeconomicdevelopment
Freud1926,"{'id': 'gesis-solis-00054472', 'value': 0.63842035924992213}",false,diefragederlaienanalyseunterredungmiteinemunparteiischen
Mead1934,"{'id': 'csa-sa-77I5204', 'value': 0.69728056476213585}",false,mindselfandsocietyfromthestandpointofasocialbehaviorist
Festinger1957,"{'id': 'wzb-bib-65560', 'value': 0.91481610549542935}",true,atheoryofcognitivedissonance
Goffman1959,"{'id': 'csa-sa-196200659', 'value': 0.59751602340445287}",false,thepresentationofselfineverydaylife
Goffman1959,"{'id': 'csa-sa-196200659', 'value': 0.59751602340445287}",false,thepresentationofselfineverydaylife
McGregor1960,"{'id': 'csa-pais-1961-15199', 'value': 1.0}",true,thehumansideofenterprise
Malmberg1964,"{'id': '', 'value': 0}",false,newtrendsinlinguisticsanorientationtrans
Bar1964,"{'id': '', 'value': 0}",false,languageandinformationselectedessaysontheirtheoryandapplication
Elias1965,"{'id': 'ubk-opac-LY000664005', 'value': 0.62580282572490176}",false,etablierteundaussenseiter
Elias1965,"{'id': 'ubk-opac-LY000663374', 'value': 1.0000000000000002}",true,theestablishedandtheoutsiders
Kohlberg1966,"{'id': 'fis-bildung-342791', 'value': 0.58529063895412414}",false,acognitivedevelopmentalanalysisofchildrenssexroleconceptsandattitudes
Likert1967,"{'id': 'ubk-opac-LN001445026', 'value': 0.99999999999999978}",true,thehumanorganization
Likert1967,"{'id': 'ubk-opac-LN001445026', 'value': 0.99999999999999978}",true,thehumanorganization
Bertalanffy1967,"{'id': 'fes-bib-776817', 'value': 0.63485390902545891}",false,robotsmenandmindspsychologyinthemodernworld
Grady1968,"{'id': 'csa-pais-1967-4022', 'value': 0.59444694299252876}",false,theusesoflinguisticsintheschools
