Id_ref,jaccard,match,norm_title_str
ID143,"{'id': '', 'value': 'solr'}",false,diefragederlaienanalyseunterredungmiteinemunparteiischen
ID172,"{'id': '', 'value': 'solr'}",false,eliasnorbertscotsonjohnl
ID13,"{'id': 'ubk-opac-HL007626813', 'value': 'solr'}",true,journalofhivaidspreventioninchildrenandyouth
ID198,"{'id': '', 'value': 'solr'}",false,logikoderpsychologiederforschungindersdieentstehungdesneuenstudienzurstrukturderwissenschaftsgeschichte
ID139,"{'id': 'gesis-bib-6380', 'value': 'solr'}",true,diefabrikationvonerkenntnis
ID142,"{'id': 'fes-bib-686245', 'value': 0.63078840444423412}",false,theoryofeconomicdevelopment
ID202,"{'id': 'csa-pais-1935-20922', 'value': 0.68899974863738478}",false,mindselfandsocietyfromthestandpointofasocialbehaviorist
ID11,"{'id': 'wzb-bib-65560', 'value': 0.91481610549542935}",true,atheoryofcognitivedissonance
ID119,"{'id': 'csa-sa-196200659', 'value': 0.59751602340445287}",false,thepresentationofselfineverydaylife
ID101,"{'id': 'csa-sa-196200659', 'value': 0.59751602340445287}",false,thepresentationofselfineverydaylife
ID90,"{'id': 'csa-pais-1961-15199', 'value': 1.0}",true,thehumansideofenterprise
ID24,"{'id': '', 'value': 0}",false,newtrendsinlinguisticsanorientation
ID31,"{'id': '', 'value': 0}",false,languageandinformationselectedessaysontheirtheoryandapplication
ID134,"{'id': 'ubk-opac-LY000663374', 'value': 1.0000000000000002}",true,theestablishedandtheoutsiders
ID42,"{'id': 'csa-sa-65B5577', 'value': 0.6077169843236464}",false,acognitivedevelopmentalanalysisofchildrenssexroleconceptsandattitudes
ID146,"{'id': 'wzb-bib-61857', 'value': 0.74260328119699848}",true,thehumanorganizationnewyorkmcgrawhill
ID5,"{'id': 'ubk-opac-LN001445026', 'value': 0.99999999999999978}",true,thehumanorganization
ID40,"{'id': '', 'value': 0}",false,robotsmenandmindspsychologyinthemodernworld
ID106,"{'id': 'csa-pais-1967-4022', 'value': 0.59444694299252876}",false,theusesoflinguisticsintheschools
ID4,"{'id': 'fes-bib-16913', 'value': 0.99999999999999989}",true,formandcontentinindustrialdemocracy
ID160,"{'id': 'ubk-opac-LY000492785', 'value': 0.73859564166438452}",true,organizationdevelopmentstrategiesandmodels
ID186,"{'id': 'csa-sa-73G2846', 'value': 0.58323833856462959}",false,linguisticprospectsintheunitedstates
ID73,"{'id': 'csa-pais-1970-8870', 'value': 0.67453642413428172}",false,linguisticsandlanguageteachingintheunitedstates19401960
ID62,"{'id': 'wzb-bib-93491', 'value': 0.72962299039226142}",true,existencerelatednessandgrowthhumanneedsinorganizationalsettings
ID49,"{'id': 'wzb-bib-61945', 'value': 0.69387489521316514}",false,dielogikdersozialwissenschaften
ID59,"{'id': 'bszbw-wao-046496556', 'value': 1.0000000000000002}",true,competitionandentrepreneurship
ID38,"{'id': 'csa-sa-77I7505', 'value': 0.97484053559438455}",true,sexrolesandinterpersonalbehaviorintaskorientatedgroups
ID28,"{'id': 'csa-sa-74G6351', 'value': 0.6433039112071065}",false,thesummerinstituteoflinguisticsitsworksandcontributions
ID64,"{'id': 'csa-sa-80K5527', 'value': 1.0}",true,theeffectsofthesexcompositionofgroupsonstyleofsocialinteraction
ID210,"{'id': 'bszbw-wao-386636672', 'value': 0.65236601787593185}",false,europeancitizenship
ID77,"{'id': 'fes-bib-718290', 'value': 0.7500872406802499}",true,ausgangspunktemeineintellektuelleentwicklung
ID54,"{'id': 'csa-sa-82M3962', 'value': 1.0}",true,statusorganizingprocesses
ID21,"{'id': 'csa-sa-81c00024', 'value': 0.66568548094157243}",false,stressundstressbewaltigungeinparadigma
ID97,"{'id': 'wzb-bib-64910', 'value': 0.92926509682646774}",true,dieeinubungdestatsachenblickszurstrukturundveranderungempirischersozialforschung
ID200,"{'id': 'csa-pais-1983-0023521', 'value': 1.0}",true,umrisszueinermethodologiequalitativersozialforschung
ID32,"{'id': 'csa-sa-83M7807', 'value': 0.76959142374472811}",true,aculturalapproachtomalefemalemiscommunication
ID194,"{'id': 'bszbw-wao-389326712', 'value': 0.71025768424497471}",true,violenceandsport
ID155,"{'id': 'csa-pais-1983-2002670', 'value': 0.71263815957737475}",true,effectsofindividualdifferencesondyadicconversationalstrategies
ID191,"{'id': 'csa-ps-8201096', 'value': 0.7312398857860144}",true,sexbiasinworksettingsthelackoffitmodel
ID29,"{'id': 'fis-bildung-33152', 'value': 0.78043121789923986}",true,entzaubertewissenschaftzurrelativitatundgeltungsoziologischerforschung
