Id_ref,author_name,hash_values,norm_title_str,years
Volmerg1988,"[u'volmerg', u'b', u'volmerg']","[22413391, 138391124, 25391853, 19249934, 17318751, 2858579, 23007979, 31086600, 38009289, 1453404, 6154444, 47405139, 378263, 45580676, 86037272, 12923789, 2562242, 85819009, 55219034, 27673298, 34337645, 39014648, 8776019, 96277864, 12028224, 103524685, 45792800, 5340128, 73703078, 4151568, 15238994, 39799291, 28790105, 16739417, 720386, 15749456, 16771548, 26707169, 45689629, 43884523, 72226411, 3563493, 20594313, 1271283, 73172463, 39159620, 6328019, 15993035, 71338814, 61689721, 37609793, 52111611, 97614204, 14376249, 3031231, 31237814, 65293407, 48198283, 14812842, 9074820, 27403119, 9236738, 162426405, 15783178, 28249768, 94938486, 34492582, 66959589, 29671389, 43983416, 10869650, 43578135, 16754202, 36117344, 17629502, 2848750, 8645844, 36829466, 4311414, 30120155, 16957731, 17686766, 9165042, 39272925, 68464562, 74958790, 41728352, 9851253, 21433895, 29411038, 4524170, 30602415, 32825262, 13477685, 12164206, 46615363, 32216566, 9336289, 36868034, 20416026, 9677974]",erkenntnistheoretischegrundsatzeinterpretativersozialforschunginderperspektiveeinespsychoanalytischreflektiertenselbstundfremdverstehens,[u'1988']
Lewis2008,[u'lewis'],"[47151825, 235805845, 195178852, 54827463, 17318751, 117209447, 199928345, 14709359, 38009289, 1453404, 66974935, 112851657, 82455792, 57967272, 21358765, 30420841, 104607141, 63368663, 82582261, 12711327, 54231745, 314493207, 130338297, 86469346, 124552841, 174778317, 85979667, 28730576, 205940066, 16818975, 4595704, 250198967, 3280481, 56910175, 18270836, 82756673, 42197659, 65369212, 18185685, 45457566, 188386223, 224380554, 22860706, 24220025, 281010149, 106068418, 4972575, 66412326, 1452536, 51310445, 147785942, 175558327, 19023757, 39732062, 40700591, 154843376, 47044823, 48198283, 41127188, 241261579, 671176, 171749559, 210155588, 15783178, 92183541, 97978582, 100409144, 44293065, 18094112, 100677909, 151330716, 38370084, 6982821, 24906987, 101833467, 159628807, 69334939, 81915224, 64197903, 2734215, 20170017, 155018273, 15031184, 39272925, 27465494, 93633862, 89092110, 48256836, 76058203, 34239555, 164359072, 22589107, 17045214, 13477685, 222792913, 200119252, 6705133, 4703063, 83929722, 67047250, 26555197]",pricedispersionandcompetitionwithdifferentialedsellers,[u'2008']
Sawyer,[u'sawyer'],"[51878760, 99733077, 42585603, 54827463, 39400321, 5027707, 99602880, 164880739, 17868557, 17530341, 8533101, 49047734, 73838436, 57915527, 146440391, 5578977, 87480930, 7723332, 17607078, 23406520, 125508220, 12424152, 49987971, 70767121, 80603808, 24705758, 51972787, 30326398, 21443201, 22674882, 92992043, 7970984, 90976949, 162802613, 10685345, 10643198, 27394751, 65369212, 36679703, 24610250, 48466726, 5508670, 20594313, 13575513, 241963592, 8784611, 738392, 5035090, 55165660, 58321245, 13166349, 60283280, 19023757, 24358128, 7561410, 128489325, 55089167, 44159834, 45376244, 167345471, 12298538, 50683328, 61507736, 26135341, 68118827, 95854647, 41928830, 59593621, 45822419, 12914093, 44294519, 104571983, 42325807, 38239054, 643932, 12600155, 55938210, 22535147, 7613146, 5487429, 59455293, 66083677, 4760104, 241313187, 68464562, 21661709, 17273086, 26128684, 13728138, 20851018, 13330470, 84517318, 5660202, 26122650, 14627005, 61520887, 11664166, 51061249, 76333236, 31616002, 72331958]",susana2004crudechroniclesindigenouspoliticsmultinationaloilandneoliberalisminecuador,[]
Oliver1991,"[u'oliver', u'c']","[102358662, 82901186, 270144528, 166670350, 443377934, 56896854, 94533340, 8750085, 61023012, 96894338, 6154444, 114371794, 168307454, 3104988, 137158119, 139339934, 40320846, 48640908, 82582261, 91949303, 35874986, 43555115, 47369398, 117128437, 44432011, 15496897, 85979667, 2419857, 126842487, 20884131, 93944719, 48554730, 52455253, 1940054, 109558928, 119509994, 15973179, 65369212, 45689629, 49477153, 67096525, 85606854, 61086281, 147063950, 223969888, 25047391, 22068095, 39562356, 43705468, 16848212, 65679378, 85554003, 19023757, 18313039, 142461335, 76864876, 19983319, 113581298, 65108858, 65237679, 47526169, 180225542, 217725597, 63696882, 135663121, 126027368, 28227304, 101342455, 355265712, 77882398, 85579264, 60020080, 59327670, 121123741, 406069637, 28612996, 29853023, 85682322, 7613146, 7192410, 111534327, 45611320, 422174336, 129743871, 21842598, 63556814, 16296790, 132591783, 123021226, 28813256, 346720710, 30602415, 87450611, 185124541, 37434686, 47259883, 90883846, 82511301, 33086064, 290013902, 28083930]",strategicresponsestoinstitutionalprocesses,[u'1991']
Emery1969,"[u'emery', u'fe', u'thorsrud', u'e', u'trist', u'e']","[138607638, 154319109, 18921097, 54827463, 17318751, 99772068, 195628213, 93527003, 141888253, 161537805, 122343845, 18643670, 73838436, 64251727, 51690618, 10264337, 61462015, 307785852, 181097645, 26722488, 54231745, 161158611, 198385970, 181610565, 86387906, 58387063, 42101700, 194563692, 30124218, 150416421, 4497925, 144203252, 70459411, 204988197, 30624788, 227385343, 72314912, 88787441, 25802705, 45457566, 42305706, 410623410, 126881535, 3452480, 73172463, 10310046, 738392, 5035090, 172251224, 61689721, 65980633, 462491294, 69626233, 162758495, 40700591, 109631208, 26320493, 37592207, 234366738, 39161355, 21611626, 104340706, 25625038, 37658692, 42667275, 48562322, 41928830, 44293065, 380357125, 84559638, 58500284, 38370084, 59882721, 373427357, 116093851, 98315727, 55938210, 33981664, 64197903, 181842114, 35851315, 328597011, 4760104, 87180754, 93889610, 20389970, 38981265, 113624829, 192893728, 123918883, 116249356, 146129601, 68021664, 101850374, 7210334, 208104532, 94008448, 157201093, 57594606, 74470970, 14261827]",formandcontentinindustrialdemocracy,[u'1969']
Likert1967,"[u'likert', u'r', u'mcgrawhill']","[117680125, 343287756, 48957000, 113141141, 352333286, 265821970, 445853712, 250874276, 13492110, 94182288, 131505470, 114883696, 817755898, 136131633, 79721344, 193615695, 6698349, 249179153, 82582261, 26722488, 64857671, 233717566, 87789704, 128389714, 76800877, 58572353, 105737282, 452277099, 72330644, 426875982, 101376366, 451550233, 67668222, 73494356, 30624788, 198665271, 131452458, 48838668, 108641944, 46865953, 42305706, 234702834, 54099563, 574685449, 271216822, 154113004, 8378964, 174011986, 451167761, 395190224, 39582233, 56982460, 53641897, 24358128, 101120813, 280374428, 26320493, 132247958, 27885901, 116653158, 12283592, 87478833, 261185104, 264926955, 160071335, 27153905, 63045656, 200366632, 284661026, 55672775, 122331948, 207236328, 59882721, 60559820, 122657547, 94892512, 339329607, 250331865, 205133871, 79850582, 106139817, 155018273, 321990429, 92653099, 93889610, 107688442, 267844066, 235326245, 147290202, 316184588, 341555911, 14234212, 464663849, 158378812, 237735672, 267648552, 5514137, 13472997, 62715981, 74470970, 137544344]",thehumanorganization,[u'1967']
McLean2005,"[u'mclean', u'sg', u'andrish', u'jt', u'vandenbogert', u'aj', u'garrett', u'we']","[31606814, 269668276, 25391853, 177877524, 215670943, 138363450, 146747240, 11407760, 55284398, 96894338, 6154444, 109771207, 82455792, 49542510, 142821069, 189148582, 4690943, 48640908, 201711735, 22367208, 431081813, 72531127, 850085, 83332854, 44432011, 6231731, 91945378, 224849290, 102753153, 161877964, 73895609, 48554730, 17238251, 207810828, 18270836, 219929911, 30882735, 146081079, 45689629, 288152239, 25310756, 3563493, 119236550, 16420662, 165197144, 68002481, 25049574, 98299776, 51961848, 43273123, 230639350, 65514488, 122107002, 123510253, 101120813, 76864876, 108376478, 113581298, 64061929, 143431268, 238067659, 304063673, 6970756, 56343639, 99074261, 163175835, 329991215, 42023651, 382658563, 77882398, 122331948, 105453157, 165174319, 78959704, 112014461, 65379229, 62852927, 171993369, 82486038, 55670011, 612045852, 257248555, 218603432, 142757124, 32243639, 232152901, 16017616, 113624829, 115659460, 28813256, 111838698, 30602415, 325146574, 117453540, 29853733, 149430840, 6976103, 128691193, 2823883, 68463551, 257811653]",yublettertotheeditorauthorsresponse,[u'2005']
Leeman2007,"[u'leeman', u'j']","[172771624, 38918542, 2181893, 27432013, 29858504, 5027707, 2641612, 390225064, 23244168, 41255704, 76319669, 39584426, 378263, 22761740, 23578899, 5578977, 79318428, 32232188, 1043238, 7811066, 13468266, 70584888, 44305485, 41414892, 5822667, 275484222, 19504762, 2419857, 9227529, 15725716, 10982627, 3559478, 98169181, 1940054, 122603594, 53346852, 134832030, 75344931, 19009370, 120284748, 115841794, 129395957, 42371683, 88267904, 161102872, 95320548, 738392, 5035090, 82303580, 72948518, 3177940, 45217359, 53641897, 39355647, 52405859, 47826253, 2260346, 132247958, 64527804, 66534026, 39358719, 208747056, 36183312, 10969308, 12947146, 14243936, 41928830, 17928877, 56460963, 3980181, 39842280, 27700, 60217933, 60559820, 110301722, 102593261, 30384824, 134586, 129022746, 144814472, 16957731, 5075701, 4760104, 16186552, 100237595, 61813991, 10041794, 22246921, 170699078, 82253365, 55185233, 14234212, 5660202, 49083783, 23826977, 100171441, 2556474, 455125, 12521982, 68493762, 70253734]",thevalueofspanishshiftingideologiesinunitedstateslanguageteaching,[u'2007']
Autor2005,"[u'autor', u'davidh', u'lawrence', u'f', u'katz', u'melissa', u's', u'kearney']","[102358662, 502579182, 61070122, 166670350, 133670318, 84875294, 165415632, 8750085, 139993907, 565981647, 24197936, 110237653, 154118225, 395587469, 54203573, 5578977, 245901846, 278980144, 110442586, 293328255, 122742687, 47330773, 81326629, 204018418, 10185248, 10912227, 519790884, 255656599, 340084449, 177850432, 228190238, 65600548, 428472893, 56910175, 327903338, 42704375, 304597801, 100454092, 151349474, 461503363, 119520155, 140438239, 98326081, 292951915, 425538621, 95320548, 17345006, 74936937, 43705468, 84072360, 15577011, 48639997, 188763511, 140736873, 91085670, 47826253, 19983319, 500306546, 112099893, 58186263, 135879493, 67408249, 159934447, 788678744, 212568825, 165211287, 252784056, 3139307, 500757531, 271599889, 122331948, 68517304, 323773595, 459366265, 77685086, 323797020, 144707130, 85682322, 86744595, 14727244, 12555896, 37128277, 123607348, 151292928, 56827133, 176160165, 267844066, 683059455, 493179569, 123162152, 13330470, 57351925, 60400287, 587588973, 37434686, 513310108, 53739126, 152506308, 103063152, 748328056, 532631779]",reassessingtherevisionists,[u'2005']
Ward1989,"[u'ward', u'nationalism', u'irish']","[2532620120L, 1823266722, 672827268, 3168707182L, 449862633, 1752437578, 1338553302, 3562237102L, 1024507214, 563894127, 419352005, 2783849903L, 3843377847L, 3555132345L, 1406621623, 408707075, 3909298107L, 3862581511L, 3769717224L, 235532101, 1106516002, 951839703, 1100434570, 152754231, 4078981599L, 2719429094L, 1395472910, 1217691373, 3610905407L, 2384223776L, 1450351156, 228012494, 1161997882, 366809294, 3885178364L, 727766784, 2269065184L, 2249464157L, 2121256203, 943370642, 3707668606L, 2041702362, 554408648, 4191937955L, 3359330521L, 4107912309L, 2073060168, 1582227819, 1506588602, 1890766471, 124411243, 3726480874L, 4060393060L, 1160557206, 1103521498, 2597064371L, 2581799789L, 5831354, 3488335734L, 3958248242L, 2372739879L, 3458878945L, 104039090, 3130052194L, 867375519, 12979930, 529046633, 3762385090L, 2255654677L, 1808143744, 3157471762L, 2161641934L, 1122293021, 438335437, 1622594343, 1578229609, 306975754, 1078365345, 239336544, 933271453, 181421766, 3675182385L, 3276772763L, 4109570641L, 117522274, 3836620104L, 469926412, 806912994, 1832140134, 1889555904, 2984924611L, 3654815447L, 1238147996, 2835516183L, 3250844973L, 1928387670, 3869856700L, 398404281, 3658834755L, 3235331487L, 991064236]",,[u'1989']
