Id_ref,author_name,hash_values,norm_title_str,years
ID0,"[u'volmerg', u'b']","[22413391, 138391124, 25391853, 19249934, 17318751, 2858579, 23007979, 31086600, 38009289, 1453404, 6154444, 47405139, 378263, 45580676, 86037272, 12923789, 2562242, 85819009, 55219034, 27673298, 34337645, 39014648, 8776019, 96277864, 12028224, 103524685, 45792800, 5340128, 73703078, 4151568, 15238994, 39799291, 28790105, 16739417, 720386, 15749456, 16771548, 26707169, 45689629, 43884523, 72226411, 3563493, 20594313, 1271283, 73172463, 39159620, 6328019, 15993035, 71338814, 61689721, 37609793, 52111611, 97614204, 14376249, 3031231, 31237814, 65293407, 48198283, 14812842, 9074820, 27403119, 9236738, 162426405, 15783178, 28249768, 94938486, 34492582, 66959589, 29671389, 43983416, 10869650, 43578135, 16754202, 36117344, 17629502, 2848750, 8645844, 36829466, 4311414, 30120155, 16957731, 17686766, 9165042, 39272925, 68464562, 74958790, 41728352, 9851253, 21433895, 29411038, 4524170, 30602415, 32825262, 13477685, 12164206, 46615363, 32216566, 9336289, 36868034, 20416026, 9677974]",erkenntnistheoretischegrundsatzeinterpretativersozialforschunginderperspektiveeinespsychoanalytischreflektiertenselbstundfremdverstehens,[u'1988']
ID1,"[u'lewis', u'matthew']","[47151825, 235805845, 195178852, 54827463, 17318751, 117209447, 199928345, 14709359, 38009289, 1453404, 66974935, 112851657, 82455792, 57967272, 21358765, 30420841, 104607141, 63368663, 82582261, 12711327, 54231745, 314493207, 130338297, 86469346, 124552841, 174778317, 85979667, 28730576, 205940066, 16818975, 4595704, 250198967, 3280481, 56910175, 18270836, 82756673, 42197659, 65369212, 18185685, 45457566, 188386223, 224380554, 22860706, 24220025, 281010149, 106068418, 4972575, 66412326, 1452536, 51310445, 147785942, 175558327, 19023757, 39732062, 40700591, 154843376, 47044823, 48198283, 41127188, 241261579, 671176, 171749559, 210155588, 15783178, 92183541, 97978582, 100409144, 44293065, 18094112, 100677909, 151330716, 38370084, 6982821, 24906987, 101833467, 159628807, 69334939, 81915224, 64197903, 2734215, 20170017, 155018273, 15031184, 39272925, 27465494, 93633862, 89092110, 48256836, 76058203, 34239555, 164359072, 22589107, 17045214, 13477685, 222792913, 200119252, 6705133, 4703063, 83929722, 67047250, 26555197]",pricedispersionandcompetitionwithdifferentialedsellers,[u'2008']
ID10,"[u'bernstein', u'l', u'henderson', u'be', u'hanisch', u'r', u'sullivanhalley', u'j', u'ross', u'rk']","[123958211, 220911830, 79162453, 54827463, 93132520, 76410037, 91267116, 132504170, 91549750, 16781049, 30935519, 37497648, 79748321, 114078990, 2876276, 68889774, 72909377, 170461492, 61490318, 29902839, 176100480, 59703720, 34752021, 18074891, 42698225, 10123539, 14324541, 84283560, 8608420, 146144060, 31613492, 66505787, 24141758, 10634825, 123865666, 21525001, 32389227, 73542176, 15498386, 104348680, 27054502, 61141720, 31927900, 88433747, 209551734, 7664081, 4988652, 45933551, 38732693, 28855749, 341182, 48639997, 165446921, 31317518, 25690442, 124352110, 15918405, 171161660, 219802464, 58186263, 9256321, 224898485, 215758929, 122655247, 100391926, 27480817, 17473067, 54931567, 101905360, 188319360, 164632390, 9342696, 45612283, 24906987, 32129913, 18136152, 28917499, 25613497, 19621126, 31234338, 12555896, 84449274, 239689, 24503401, 56827133, 13276971, 61425760, 51650851, 51414748, 105466000, 11937896, 52922906, 32825262, 89049917, 6064973, 157467792, 322591227, 4703063, 143003054, 35168392, 9270915]",physicalexerciseandreducedriskofbreastcancerinyoungwomen,[u'1994']
ID100,"[u'kostakopoulou', u't']","[81688552, 96824670, 27259416, 51234367, 44754675, 2858579, 24793916, 196417876, 112148882, 126085204, 83634986, 49047734, 378263, 182990093, 47146006, 5578977, 61462015, 182903921, 46260171, 171491864, 26100740, 9248049, 44305485, 55570134, 275687350, 63330220, 563412, 28730576, 5524460, 80506736, 175849731, 21621996, 98169181, 116247239, 18577100, 138695067, 15973179, 57680954, 15498386, 166292037, 7967421, 23873727, 75322848, 94977059, 60442033, 13897346, 17345006, 66412326, 1452536, 16250384, 3177940, 45217359, 40667512, 5583513, 3031231, 47826253, 2260346, 50837075, 38221876, 4453114, 12283592, 9403580, 70584169, 176923659, 28249768, 27391233, 184610176, 33690206, 29671389, 143577991, 115342769, 22735513, 178389797, 80858976, 16832359, 170125389, 14806634, 36829466, 14078236, 79850582, 16957731, 56796620, 81750645, 61905378, 139406133, 61813991, 1050881, 9851253, 873107, 82253365, 11937896, 112306847, 23695571, 51369213, 12164206, 69117999, 42158221, 455125, 23109141, 24424299, 9270915]",nestedoldandnewcitizenshipsintheeuropeanunionbringingforththecomplexity,[u'2000']
ID101,"[u'goffman', u'e']","[172665715, 60066837, 270144528, 81737504, 174490427, 69906221, 64970727, 290676375, 109444576, 1453404, 129694582, 313814785, 70786871, 136131633, 179925368, 193615695, 55872217, 64341861, 82582261, 69810110, 187949566, 275443757, 114783856, 157247790, 44432011, 103524685, 181715355, 20505020, 205940066, 28466214, 101376366, 52095633, 7642019, 909600, 88518555, 98632818, 30882735, 1868865, 19009370, 45457566, 127044846, 140057555, 120158953, 130703061, 226020655, 174795290, 85625642, 157228323, 172251224, 120004845, 111602053, 401197501, 62577633, 24358128, 101120813, 75645013, 65293407, 113581298, 112099893, 243149583, 83345381, 140034189, 261185104, 204478885, 45192542, 97456883, 151829858, 98081714, 420221445, 55672775, 37261770, 3390976, 145919293, 22593703, 2551924, 30461813, 32035466, 5472637, 3444772, 111417946, 106139817, 94106408, 107543275, 22324548, 24030721, 103270895, 224163040, 103126055, 39054854, 308871844, 164359072, 5209448, 280514689, 17472532, 112742433, 192598641, 138692600, 8485664, 103596850, 1476010, 416879733]",thepresentationofselfineverydaylife,[u'1959']
ID102,"[u'king', u'a']","[70743054, 67041070, 85894860, 108816658, 64604325, 81940362, 154105015, 52159967, 947810, 174792281, 9320981, 6775256, 95923895, 16277455, 73426148, 29358132, 36843235, 297753898, 55219034, 43088348, 24919138, 161158611, 18322167, 24325052, 248254145, 126237352, 41429769, 120768442, 234989658, 78694753, 54030653, 34853527, 143771367, 202644533, 20376251, 68090868, 78410463, 41993382, 39729099, 2865626, 398865254, 152560871, 21759114, 88433747, 29840793, 58162461, 3403107, 14393418, 100069722, 137639697, 80797385, 101586986, 112078544, 63960604, 4728633, 30536679, 89216386, 19127080, 58595112, 222426984, 318233557, 47857755, 199140597, 37418899, 18351063, 21316216, 98426825, 95779979, 12589195, 518616329, 122331948, 1243554, 60217933, 149704654, 32129913, 30461813, 229805438, 57318280, 23443431, 37865483, 112820041, 84449274, 107543275, 115775489, 118729984, 45602264, 13700278, 170654704, 14567921, 101707321, 1841990, 19976111, 50545965, 275406315, 201515720, 91357376, 138692600, 157201093, 27373117, 47585610, 6416877]",outlineofapracticaltheoryoffootballviolence,[u'1995']
ID103,"[u'heydon', u'r']","[50811888, 60066837, 52808350, 99907088, 26780212, 69906221, 63010961, 13885554, 39224374, 126085204, 36484499, 126607971, 8701684, 162708458, 179925368, 18577297, 234376579, 32232188, 82582261, 86088664, 68876543, 275443757, 34752021, 68403186, 12028224, 30539560, 189112149, 30383413, 30124218, 64859588, 101376366, 56511975, 16690930, 192464639, 720386, 47193637, 30882735, 45674779, 50787627, 45457566, 43631184, 140057555, 42371683, 88433747, 34772907, 129892274, 738392, 5035090, 86636705, 7192317, 112721276, 167786242, 42509197, 13778578, 148552250, 47826253, 44864970, 113581298, 23730607, 19376565, 113933240, 7961169, 68192275, 21331244, 7160207, 47249579, 41928830, 73839959, 32386085, 28580428, 31407980, 17799264, 31349563, 98820308, 5187889, 11000827, 32035466, 60272485, 19621126, 55670011, 79834404, 84449274, 4760104, 22324548, 39693135, 70529981, 30889652, 136080001, 5772207, 97152989, 13330470, 52922906, 60400287, 17472532, 2280032, 786496, 1100197, 274725818, 103596850, 15002409, 28083930]",writingnonnaaconsiderationofethicalrepresentationinnarrativeresearch,[u'2004']
ID104,"[u'ganong', u'l', u'coleman', u'm']","[42195780, 163664129, 25391853, 29488442, 241995410, 2858579, 49004828, 153349668, 109444576, 77177812, 17378970, 42951127, 32453956, 94908474, 377276048, 40989649, 49306597, 48640908, 17607078, 56129847, 26100740, 12419247, 86391157, 15298203, 152608284, 103524685, 6732564, 9991921, 9227529, 28466214, 22718864, 39799291, 34838285, 42530752, 10685345, 15216666, 19442113, 65369212, 117910372, 45457566, 62472170, 3563493, 7702097, 12178637, 92183836, 13897346, 138207549, 81207582, 78905044, 58321245, 108880347, 739103, 38468327, 24358128, 40700591, 201453859, 2260346, 62346127, 65108858, 143431268, 2055355, 133054584, 129940518, 73018470, 38226822, 145158491, 27190390, 337033105, 1043786, 40775670, 35326677, 22735513, 116462625, 79903107, 50076765, 53006086, 250543692, 56219908, 64197903, 13420376, 137704690, 155018273, 32396460, 33261082, 348145242, 133233246, 319499895, 9851253, 4410889, 20851018, 17270430, 35248707, 56274507, 57013705, 47845468, 119943446, 205252041, 12372030, 160238558, 35168392, 48706191]",stepfamilyrelationshipsdevelopmentdynamicsandinterventions,[u'2004']
ID105,[''],"[286578641, 60066837, 194022335, 41024538, 29858504, 430399396, 13557065, 111691683, 173317474, 351091427, 76319669, 82633187, 284922533, 150725630, 91258799, 30420841, 212537746, 523785654, 1043238, 135381956, 82101447, 98926546, 44305485, 157247790, 113429244, 350255571, 189275681, 30383413, 106626554, 146144060, 22718864, 313368604, 187862885, 171799070, 565445466, 323287566, 235595755, 73542176, 439383145, 45457566, 119520155, 64891498, 3632602, 16222813, 175605117, 95320548, 15758873, 89786199, 2759065, 30682864, 3177940, 60283280, 47919981, 57541159, 40700591, 60908538, 148149549, 500306546, 113807509, 154943932, 222807463, 64493232, 365908, 295800079, 31221068, 82321160, 100409144, 45312880, 18094112, 83649926, 196805834, 67407579, 145919293, 24906987, 32129913, 30461813, 283034057, 57318280, 23443431, 58425918, 208841503, 84449274, 83488531, 10952286, 182920206, 33276613, 200416095, 133895003, 192893728, 29811422, 16149802, 123506767, 79557209, 128106611, 147151899, 182334489, 363728218, 12372030, 8255825, 35168392, 210815031]",punishmentandinequalityinamerica,[u'2006']
ID106,"[u'grady', u'm']","[216594245, 134553911, 564822712, 166670350, 184423673, 248010913, 452395250, 8750085, 139993907, 84642430, 8551616, 166796921, 312317553, 136131633, 128480693, 5578977, 14896928, 127260284, 57182466, 67988546, 147350420, 92520114, 47369398, 171239471, 275687350, 74715218, 376905243, 20354333, 291566352, 194838252, 129257187, 29662770, 254632436, 69885095, 10685345, 141886421, 82269527, 491783394, 49208741, 83470851, 68264784, 224447654, 35909622, 24872425, 119857009, 151519390, 17345006, 297108748, 2845146, 90141647, 15577011, 228341548, 553706011, 112673925, 101120813, 47826253, 37127872, 78041082, 14812842, 12200948, 27403119, 71659854, 526643925, 716937, 160071335, 118674757, 243100017, 200366632, 97913979, 55672775, 72834890, 123619691, 109660604, 151413871, 301104985, 201786034, 63428034, 280236707, 4311414, 24918145, 106139817, 332139827, 137138731, 149930325, 101323329, 27452557, 267844066, 9851253, 49301069, 29411038, 341555911, 11428654, 107303486, 165900883, 61272106, 119943446, 32216566, 228856820, 85297364, 47585610, 79759171]",theusesoflinguisticsintheschools,[u'1968']
