,Cit_id,Sowiport_id
0,Emery1969,fes-bib-16913
1,Likert1967,ubk-opac-LN001445026
2,Festinger1957,wzb-bib-65560
3,Foley2004,csa-assia-290850
4,Bray1993,csa-ssa-199400404
5,Fleck1992,csa-sa-93Z6784
6,Meeker1977,csa-sa-77I7505
7,Hampel2006,csa-assia-200610775
8,Larson2000,csa-assia-151359
9,Bock1992,gesis-solis-00160651
10,Fleck1992,csa-sa-93Z6784
11,Breiter1995,gesis-solis-00193121
12,Berger1980,csa-sa-82M3962
13,Kirzner1973,wzb-bib-81147
14,Unknown1972,ubk-opac-LY000444262
15,Neumayer2003a,csa-ps-200312012
16,Piliavin1978,csa-sa-80K5527
17,Bairner2006,csa-sa-200703323
18,Castilla2005,csa-sa-200517432
19,RW2005,csa-pei-6820101
20,Simpson1994,ubk-opac-LY000193088
21,McLean2004,csa-pei-6004847
22,Steppan2001,csa-pei-14936993
23,McGregor1960,csa-pais-1961-15199
24,Spaaij2008,csa-sa-200902248
25,Unknown1998,csa-assia-124301
26,Friden1989,csa-pei-10093240
27,Hecht2001,csa-assia-174015
28,King1995,csa-assia-56049
29,Unknown2006,csa-sa-200618399
30,Ford2008,csa-sa-200907781
31,Coates1999,csa-pais-2000-0504330
32,Grieco1987,gesis-solis-00169146
33,Preuss1996,csa-sa-9707190
34,Brennan1993,wzb-bib-99116
35,Ridgeway1986,csa-ps-193800
36,Elias1965,ubk-opac-LY000663374
37,Wright2010,csa-pais-2010-593123
38,Likert1967,ubk-opac-LN001445026
39,Kalichman1995,csa-assia-58385
40,Taylor1989,ubk-opac-LY000039092
41,Petty1986,wzb-bib-49848
42,England1992,csa-pais-1992-0906205
43,Beckhard1969,ubk-opac-LY000492785
44,Carli1989,csa-assia-8952372
45,Cornell1992,fes-bib-736007
46,Renstrom2008,csa-pei-8300566
47,Hannah1999,csa-sa-9916234
48,Kleining1982,csa-pais-1983-0023521
49,Gaither2003,csa-assia-246947
50,Rich1999,csa-sa-200012778
