,Cit_id,Sowiport_id
0,ID102,csa-assia-56049
1,ID105,csa-sa-200618399
2,ID107,csa-ps-200913912
3,ID108,csa-sa-200907781
4,ID11,wzb-bib-65560
5,ID117,csa-pais-2000-0504330
6,ID127,gesis-solis-00169146
7,ID130,csa-sa-9707190
8,ID132,wzb-bib-99116
9,ID133,csa-ps-193800
10,ID134,ubk-opac-LY000663374
11,ID135,csa-pais-2007-04937
12,ID139,gesis-bib-6380
13,ID140,csa-pais-2010-593123
14,ID145,csa-sa-92Y8197
15,ID148,csa-assia-58385
16,ID152,ubk-opac-LY000039092
17,ID157,wzb-bib-49848
18,ID158,csa-pais-1992-0906205
19,ID16,csa-assia-290850
20,ID160,ubk-opac-LY000492785
21,ID168,csa-assia-8952372
22,ID174,fes-bib-736007
23,ID177,csa-assia-166565
24,ID178,csa-ps-200823235
25,ID18,csa-ssa-199400404
26,ID185,csa-pei-8300566
27,ID187,csa-sa-96c02792
28,ID193,csa-sa-9916234
29,ID2,csa-pais-2004-1002330
30,ID200,csa-pais-1983-0023521
31,ID204,gesis-ssoar-965
32,ID205,gesis-solis-00405843
33,ID206,csa-ps-9304464
34,ID209,csa-assia-246947
35,ID215,csa-sa-200805755
36,ID217,iab-litdok-K060817F35
37,ID220,gesis-ssoar-965
38,ID221,csa-sa-200012778
39,ID223,csa-ps-200702420
40,ID37,csa-sa-93Z6784
41,ID38,csa-sa-77I7505
42,ID39,csa-assia-200610775
43,ID4,fes-bib-16913
44,ID44,csa-assia-151359
45,ID45,gesis-solis-00160651
46,ID47,csa-sa-93Z6784
47,ID5,ubk-opac-LN001445026
48,ID50,gesis-solis-00193121
49,ID54,csa-sa-82M3962
50,ID59,wzb-bib-81147
51,ID61,csa-sa-9800448
52,ID62,ubk-opac-LY000444262
53,ID63,csa-ps-200312012
54,ID64,csa-sa-80K5527
55,ID65,csa-sa-92Z2630
56,ID66,csa-sa-200703323
57,ID69,csa-sa-200517432
58,ID74,springer-soj-197654533
59,ID75,csa-pei-6820101
60,ID77,ubk-opac-HL001354509
61,ID8,iab-litdok-K051104F05
62,ID82,csa-sa-9904692
63,ID85,ubk-opac-LY000193088
64,ID86,csa-pei-6004847
65,ID89,csa-pei-14936993
66,ID90,csa-pais-1961-15199
67,ID91,csa-sa-200902248
68,ID92,csa-assia-124301
69,ID93,gesis-ssoar-3730
70,ID94,csa-pei-10093240
71,ID95,csa-assia-174015
