;0;1;Match id;Authors;year;title;list_of_dublication;F_D;comment
1279;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/SSOAR\120.txt;Volmerg, B. (1988). Erkenntnistheoretische Grundsätze interpretativer Sozialforschung in der Perspektive eines psychoanalytisch reflektierten Selbst- und Fremdverstehens. In T. Leithäuser & B. Volmerg, Psychoanalyse in der Sozialforschung (S. 131–179). Opladen: Westdeutscher Verlag.;null;Volmerg, B.;1988;Erkenntnistheoretische Grundsätze interpretativer Sozialforschung in der Perspektive eines psychoanalytisch reflektierten Selbst- und Fremdverstehens;null;;
291;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/61z80 - END VERSION\200948117-1111#S#j#P#1467-9531#P#2009#P#01222#P#x.txt;Lewis, Matthew. 2008. “Price Dispersion and Competition with Differentialed Sellers.” Journal of Industrial Economics 56:654–78.;null;Lewis, Matthew;2008;Price Dispersion and Competition with Differentialed Sellers;null;;
980;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-301-350k\csa-pais-2010-604597-1177#S#0094582X10372514.txt;Sawyer, Susana 2004 Crude Chronicles: Indigenous Politics, Multinational Oil, and Neoliberalism in Ecuador. Durham, NC: Duke University Press.;bszbw-wao-330016598;Sawyer, Susana;2004;Crude Chronicles: Indigenous Politics, Multinational Oil, and Neoliberalism in Ecuador;[u'bszbw-wao-390397377', u'csa-pais-2004-1002330', u'bszbw-wao-330016598'];;
937;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-301-350k\csa-pais-2008-241353-1177#S#0891242408325585.txt;Oliver, C. (1991). Strategic responses to institutional processes. Academy of Management Review, 16(1), 145-179.;null;Oliver, C.;1991; Strategic responses to institutional processes;null;;
205;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/61z80 - END VERSION\200943351-1177#S#0021886309335070.txt;Emery, F. E., Thorsrud, E., & Trist, E. (1969). Form and content in industrial democracy. London: Tavistock.;fes-bib-16913;"Emery, F. E.; Thorsrud, E.; Trist, E.";1969;Form and content in industrial democracy;['fes-bib-16913'];;
224;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/61z80 - END VERSION\200943351-1177#S#0021886309335070.txt;Likert, R. (1967). The human organization. New York: McGraw-Hill.;fes-bib-253136;Likert, R.;1967;The human organization;[u'wzb-bib-61857', u'ubk-opac-LN001445026', u'fes-bib-253136'];;
1076;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-301-350k\csa-pei-12609130-1177#S#0363546509334373.txt;"McLean SG, Andrish JT, van den Bogert AJ, Garrett WE Jr, Yu B. Letter to the editor & authors’ response. Am J Sports Med. 2005;33(7): 1106-1107.";null;"McLean, S. G.; Andrish, J. T.; van den Bogert, A. J.; Garrett, W. E. Jr.; Yu, B.";2005;Letter to the editor & authors’ response;null;;
877;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-sa-201101954-1177#S#0952695110378952.txt;Leeman, J. (2007) ‘The Value of Spanish: Shifting Ideologies in United States Language Teaching’, Association of Departments of Foreign Languages Bulletin 38: 32–8.;null;Leeman, J. ;2007;The Value of Spanish: Shifting Ideologies in United States Language Teaching;null;;
274;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/61z80 - END VERSION\200948117-1111#S#j#P#1467-9531#P#2009#P#01222#P#x.txt;Autor, David H., Lawrence F. Katz, and Melissa S. Kearney. 2005. “Trends in U.S. Wage Inequality: Re-Assessing the Revisionists.” National Bureau of Economic ResearchWorking Paper 11627, National Bureau of Economic Research, Cambridge, MA.;iab-litdok-K051104F05;"Autor, David H.; Lawrence, F. Katz; Kearney, Melissa S.";2005;Trends in U.S. Wage Inequality: Re-Assessing the Revisionists;['iab-litdok-K051104F05'];;names are weird
458;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-ps-200507548-1177#S#0967010604049522.txt;Ward, Margaret, 1989. Unmanageable Revolutionaries: Women and Irish Nationalism. London: Pluto.;null;Ward, Margaret;1989;Unmanageable Revolutionaries: Women and Irish Nationalism;null;;
1115;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-301-350k\csa-pei-13758577-1054#S#bjoc#P#2001#P#2003.txt;Bernstein L, Henderson BE, Hanisch R, Sullivan-Halley J and Ross RK (1994) Physical exercise and reduced risk of breast cancer in young women. J Natl Cancer Inst 86: 1403–1408;null;"Bernstein, L.; Henderson, B.E.; Hanisch, R.; Sullivan-Halley, J.; Ross, R.K. ";1994;Physical exercise and reduced risk of breast cancer in young women;null;;
697;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-sa-201050526-1177#S#0268580909351328.txt;Festinger, L. (1957) A Theory of Cognitive Dissonance. Evanston, IL: Row, Peterson.;null;Festinger, L.;1957;A Theory of Cognitive Dissonance;null;;
419;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-pei-15070572-1177#S#0363546510393943.txt;"Cornwall MW, Murrell P. Postural sway following inversion sprain of the ankle. J Am Podiatr Med Assoc. 1991;81(5):243-247.";null;"Cornwall, M. W.; Murrell, P.";1991;Postural sway following inversion sprain of the ankle;null;;
768;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-sa-201101616-1177#S#0044118X09353572.txt;Journal of HIV/AIDS Prevention in Children and Youth, 7, 121-138.;null;;;;null;;
729;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-sa-201050526-1177#S#0268580909351328.txt;Young, K. (2000) ‘Sport and Violence’, in J. Coakley and E. Dunning (eds) Handbook of Sports Studies, pp. 382–407. London: Sage.;null;Young, K.;2000;Sport and Violence;null;;
64;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/61z80 - END VERSION\200719289-1177#S#0730888405285295.txt;Kapelyushnikov, R. (2003). The mechanisms of wage formation in the Russian manufacturing sector. Unpublished manuscript.;null;Kapelyushnikov, R. ;2003;The mechanisms of wage formation in the Russian manufacturing sector;null;;
639;R:/PROJECTS/EXCITE.DFG/SHK_Report/Goldstandard_WP2/Jan_goldstandard/corpus/download-vufind-251-300k\checked\csa-sa-201043149-1177#S#0265407510361729.txt;Foley,D. L., Pickles, A., Rutter, M. Gardner,C.O., Maes,H. H., Silberg, J. L. & Eaves, L. (2004). Risks for conduct disorder symptoms associated with parental alcoholism in stepfather families versus intact families from a community sample. Journal of Child Psychology and Psychiatry, 45, 687–696.;csa-assia-290850;"Foley, D. L.; Pickles, A.; Rutter, M.; Gardner, C.O.; Maes, H. H.; Silberg, J. L.; Eaves, L.";2004;Risks for conduct disorder symptoms associated with parental alcoholism in stepfather families versus intact families from a community sample;['csa-assia-290850'];;
