new_id,ref_id,sowi_id,sourcefile,ref_text_x,ref_text_y,ref_seg,ref_seg_dic
f1_831418,831418,"['wzb-bib-85047', 'gesis-solis-00135926', ' bszbw-wao-025253182', ' iab-litdok-I900417F09', ' ubk-opac-LY000026737', ' wzb-bib-85047', ' fes-bib-437860']",10037,"Bosch, G.: Qualifizieren statt entlassen - Beschäftigungspläne in der Praxis, Opladen 1990.","Bosch, G.: Qualifizieren statt entlassen - Beschäftigungspläne in der Praxis, Opladen 1990.","<author><surname prob=""0.9656"">Bosch</surname>, <given-names prob=""0.9714"">G</given-names></author>.: Qualifizieren statt entlassen - Beschäftigungspläne in der Praxis, <other prob=""0.7765"">Opladen</other> <year prob=""0.9555"">1990</year>.","{""author"": [[{""score"": ""0.9656"", ""surname"": ""Bosch""}, {""given-names"": ""G"", ""score"": ""0.9714""}]], ""other"": [{""score"": ""0.7765"", ""value"": ""Opladen""}], ""year"": [{""score"": ""0.9555"", ""value"": ""1990""}]}"
f1_1064777,1064777,"['gesis-solis-00360757', 'iab-litdok-K060329801', ' gesis-solis-00360757', ' dzi-solit-0159225']",31981,"Stahlmann, Günther (2006): 1 - Euro - Jobs zwischen Arbeitsvermittlung und Abstellgleis. In: Zeitschrift für Sozialhilfe und Sozialgesetzbuch, 131-143.","Stahlmann, Günther (2006): 1 - Euro - Jobs zwischen Arbeitsvermittlung und Abstellgleis. In: Zeitschrift für Sozialhilfe und Sozialgesetzbuch, 131-143.","<author><surname prob=""0.9931"">Stahlmann</surname>, <given-names prob=""0.9815"">Günther</given-names></author> (<year prob=""0.9999"">2006</year>): <title prob=""0.6995"">1</title> <title prob=""0.7465"">-</title> <title prob=""0.8167"">Euro</title> <title prob=""0.8145"">-</title> <title prob=""0.9109"">Jobs</title> <title prob=""0.9201"">zwischen</title> <title prob=""0.9235"">Arbeitsvermittlung</title> <title prob=""0.9210"">und</title> <title prob=""0.9185"">Abstellgleis</title>. <other prob=""0.6871"">In</other>: <source prob=""0.9893"">Zeitschrift</source> <source prob=""0.9877"">für</source> <source prob=""0.9856"">Sozialhilfe</source> <source prob=""0.9319"">und</source> <source prob=""0.8745"">Sozialgesetzbuch</source>, <fpage prob=""0.9820"">131</fpage> - <lpage prob=""0.9820"">143</lpage>.","{""author"": [[{""score"": ""0.9931"", ""surname"": ""Stahlmann""}, {""given-names"": ""Günther"", ""score"": ""0.9815""}]], ""year"": [{""score"": ""0.9999"", ""value"": ""2006""}], ""title"": [{""score"": ""0.6995"", ""value"": ""1""}, {""score"": ""0.7465"", ""value"": ""-""}, {""score"": ""0.8167"", ""value"": ""Euro""}, {""score"": ""0.8145"", ""value"": ""-""}, {""score"": ""0.9109"", ""value"": ""Jobs""}, {""score"": ""0.9201"", ""value"": ""zwischen""}, {""score"": ""0.9235"", ""value"": ""Arbeitsvermittlung""}, {""score"": ""0.9210"", ""value"": ""und""}, {""score"": ""0.9185"", ""value"": ""Abstellgleis""}], ""other"": [{""score"": ""0.6871"", ""value"": ""In""}], ""source"": [{""score"": ""0.9893"", ""value"": ""Zeitschrift""}, {""score"": ""0.9877"", ""value"": ""für""}, {""score"": ""0.9856"", ""value"": ""Sozialhilfe""}, {""score"": ""0.9319"", ""value"": ""und""}, {""score"": ""0.8745"", ""value"": ""Sozialgesetzbuch""}], ""page"": [{""score"": ""0.9820"", ""value"": ""131""}, {""score"": ""0.9820"", ""value"": ""143""}]}"
f1_646040,646040,['gesis-solis-00244164'],12608,"Heins, Volker/Flitner, Michael: Biologische Ressourcen und „Life Politics"", in: Flitner et al. 1998, S. 13-38.","Heins, Volker/Flitner, Michael: Biologische Ressourcen und „Life Politics"", in: Flitner et al. 1998, S. 13-38.","<author><surname prob=""0.9938"">Heins</surname>, <given-names prob=""0.8598"">Volker/Flitner</given-names></author>, <author><given-names prob=""0.9281"">Michael</given-names></author>: <title prob=""0.7502"">Biologische</title> <title prob=""0.7714"">Ressourcen</title> <title prob=""0.7675"">und</title> <title prob=""0.7208"">„Life</title> <title prob=""0.7122"">Politics</title>"", in: <source prob=""0.8680"">Flitner</source> <source prob=""0.8377"">et</source> <source prob=""0.6553"">al</source>. <year prob=""0.5723"">1998</year>, S. <fpage prob=""0.9990"">13</fpage> - <lpage prob=""0.9990"">38</lpage>.","{""author"": [[{""score"": ""0.9938"", ""surname"": ""Heins""}, {""given-names"": ""Volker/Flitner"", ""score"": ""0.8598""}]], ""title"": [{""score"": ""0.7502"", ""value"": ""Biologische""}, {""score"": ""0.7714"", ""value"": ""Ressourcen""}, {""score"": ""0.7675"", ""value"": ""und""}, {""score"": ""0.7208"", ""value"": ""„Life""}, {""score"": ""0.7122"", ""value"": ""Politics""}], ""source"": [{""score"": ""0.8680"", ""value"": ""Flitner""}, {""score"": ""0.8377"", ""value"": ""et""}, {""score"": ""0.6553"", ""value"": ""al""}], ""year"": [{""score"": ""0.5723"", ""value"": ""1998""}], ""page"": [{""score"": ""0.9990"", ""value"": ""13""}, {""score"": ""0.9990"", ""value"": ""38""}]}"
f1_1137043,1137043,"['csa-pais-2011-148398', 'wzb-bib-191866', ' wzb-bib-191874', ' csa-pais-2011-148398']",39214,"Konrad, Kai und Holger Zschäpitz (2011), The Future of the Eurozone, CESifo Forum 12 (2), 46-49.","Konrad, Kai und Holger Zschäpitz (2011), The Future of the Eurozone, CESifo Forum 12 (2), 46-49.","<author><surname prob=""0.8788"">Konrad</surname>, <given-names prob=""0.8707"">Kai</given-names></author> und Holger Zschäpitz (<year prob=""0.9011"">2011</year>), <title prob=""0.9291"">The</title> <title prob=""0.9311"">Future</title> <title prob=""0.9205"">of</title> <title prob=""0.9084"">the</title> <title prob=""0.8729"">Eurozone</title>, <source prob=""0.9721"">CESifo</source> <source prob=""0.9827"">Forum</source> <volume prob=""0.9886"">12</volume> (<issue prob=""0.9071"">2</issue>), <fpage prob=""0.9997"">46</fpage> - <lpage prob=""0.9997"">49</lpage>.","{""author"": [[{""score"": ""0.8788"", ""surname"": ""Konrad""}, {""given-names"": ""Kai"", ""score"": ""0.8707""}]], ""year"": [{""score"": ""0.9011"", ""value"": ""2011""}], ""title"": [{""score"": ""0.9291"", ""value"": ""The""}, {""score"": ""0.9311"", ""value"": ""Future""}, {""score"": ""0.9205"", ""value"": ""of""}, {""score"": ""0.9084"", ""value"": ""the""}, {""score"": ""0.8729"", ""value"": ""Eurozone""}], ""source"": [{""score"": ""0.9721"", ""value"": ""CESifo""}, {""score"": ""0.9827"", ""value"": ""Forum""}], ""volume"": [{""score"": ""0.9886"", ""value"": ""12""}], ""issue"": [{""score"": ""0.9071"", ""value"": ""2""}], ""page"": [{""score"": ""0.9997"", ""value"": ""46""}, {""score"": ""0.9997"", ""value"": ""49""}]}"
f1_998715,998715,['csa-sa-73G1634'],35159,"Cohen, Michael/March, James G./Olsen, Johan P. (1972), ""A Garbage Can Model of Organizational Choice"", in: Administrative Science Quarterly, 1, S. 1-26.","Cohen, Michael/March, James G./Olsen, Johan P. (1972), ""A Garbage Can Model of Organizational Choice"", in: Administrative Science Quarterly, 1, S. 1-26.","<author><surname prob=""0.9436"">Cohen</surname>, <surname prob=""0.6314"">Michael/March</surname>, <given-names prob=""0.9634"">James</given-names></author> <author><surname prob=""0.9511"">G./Olsen</surname>, <given-names prob=""0.8267"">Johan</given-names> <given-names prob=""0.9232"">P.</given-names></author> (<year prob=""0.9998"">1972</year>), ""<title prob=""0.9587"">A</title> <title prob=""0.9918"">Garbage</title> <title prob=""0.9927"">Can</title> <title prob=""0.9942"">Model</title> <title prob=""0.9948"">of</title> <title prob=""0.9944"">Organizational</title> <title prob=""0.9889"">Choice</title>"", <other prob=""0.5122"">in</other>: <source prob=""0.9968"">Administrative</source> <source prob=""0.9989"">Science</source> <source prob=""0.9719"">Quarterly</source>, <volume prob=""0.9390"">1</volume>, <other prob=""0.5052"">S</other>. <fpage prob=""0.9987"">1</fpage> - <lpage prob=""0.9987"">26</lpage>.","{""author"": [[{""score"": ""0.9436"", ""surname"": ""Cohen""}, {""score"": ""0.6314"", ""surname"": ""Michael/March""}, {""given-names"": ""James"", ""score"": ""0.9634""}], [{""score"": ""0.9511"", ""surname"": ""G./Olsen""}, {""given-names"": ""Johan"", ""score"": ""0.8267""}, {""given-names"": ""P."", ""score"": ""0.9232""}]], ""year"": [{""score"": ""0.9998"", ""value"": ""1972""}], ""title"": [{""score"": ""0.9587"", ""value"": ""A""}, {""score"": ""0.9918"", ""value"": ""Garbage""}, {""score"": ""0.9927"", ""value"": ""Can""}, {""score"": ""0.9942"", ""value"": ""Model""}, {""score"": ""0.9948"", ""value"": ""of""}, {""score"": ""0.9944"", ""value"": ""Organizational""}, {""score"": ""0.9889"", ""value"": ""Choice""}], ""other"": [{""score"": ""0.5122"", ""value"": ""in""}, {""score"": ""0.5052"", ""value"": ""S""}], ""source"": [{""score"": ""0.9968"", ""value"": ""Administrative""}, {""score"": ""0.9989"", ""value"": ""Science""}, {""score"": ""0.9719"", ""value"": ""Quarterly""}], ""volume"": [{""score"": ""0.9390"", ""value"": ""1""}], ""page"": [{""score"": ""0.9987"", ""value"": ""1""}, {""score"": ""0.9987"", ""value"": ""26""}]}"
f1_714220,714220,"['gesis-bib-94182', 'gesis-bib-94182', ' wzb-bib-105240']",5666,"Zukin, S. 1995. The culture of cities. Oxford: Blackwell.","Zukin, S. 1995. The culture of cities. Oxford: Blackwell.","<author><surname prob=""0.9924"">Zukin</surname>, <given-names prob=""0.9981"">S.</given-names></author> <year prob=""0.9993"">1995</year>. <title prob=""0.8213"">The</title> <title prob=""0.8413"">culture</title> <title prob=""0.8398"">of</title> <title prob=""0.8269"">cities</title>. <other prob=""0.9819"">Oxford</other>: <publisher prob=""0.9095"">Blackwell</publisher>.","{""author"": [[{""score"": ""0.9924"", ""surname"": ""Zukin""}, {""given-names"": ""S."", ""score"": ""0.9981""}]], ""year"": [{""score"": ""0.9993"", ""value"": ""1995""}], ""title"": [{""score"": ""0.8213"", ""value"": ""The""}, {""score"": ""0.8413"", ""value"": ""culture""}, {""score"": ""0.8398"", ""value"": ""of""}, {""score"": ""0.8269"", ""value"": ""cities""}], ""other"": [{""score"": ""0.9819"", ""value"": ""Oxford""}], ""publisher"": [{""score"": ""0.9095"", ""value"": ""Blackwell""}]}"
f1_326738,326738,"['csa-sa-9603771', 'csa-sa-9603771', ' gesis-bib-37147', ' gesis-solis-00195744', ' fis-bildung-373171', ' iab-litdok-I951129D02']",5778,"Buchmann, Marlis/Sacchi, Stefan (1995a): Mehrdimensionale Klassifikation beruflicher Verlaufsdaten. Eine Anwendung auf Berufslaufbahnen zweier Schweizer Geburtskohorten. In: Kölner Zeitschrift für Soziologie und Sozialpsychologie, Jg. 47, Nr. 3, S. 413!442.","Buchmann, Marlis/Sacchi, Stefan (1995a): Mehrdimensionale Klassifikation beruflicher Verlaufsdaten. Eine Anwendung auf Berufslaufbahnen zweier Schweizer Geburtskohorten. In: Kölner Zeitschrift für Soziologie und Sozialpsychologie, Jg. 47, Nr. 3, S. 413!442.","<author><surname prob=""0.9653"">Buchmann</surname>, <surname prob=""0.6419"">Marlis/Sacchi</surname>, <given-names prob=""0.9346"">Stefan</given-names></author> (<year prob=""0.9998"">1995a</year>): <title prob=""0.9997"">Mehrdimensionale</title> <title prob=""0.9999"">Klassifikation</title> <title prob=""0.9999"">beruflicher</title> <title prob=""0.9998"">Verlaufsdaten.</title> <title prob=""0.9958"">Eine</title> <title prob=""0.9973"">Anwendung</title> <title prob=""0.9977"">auf</title> <title prob=""0.9981"">Berufslaufbahnen</title> <title prob=""0.9978"">zweier</title> <title prob=""0.9973"">Schweizer</title> <title prob=""0.9897"">Geburtskohorten</title>. <other prob=""0.5478"">In</other>: <source prob=""0.9752"">Kölner</source> <source prob=""0.9765"">Zeitschrift</source> <source prob=""0.9727"">für</source> <source prob=""0.9749"">Soziologie</source> <source prob=""0.8860"">und</source> <source prob=""0.8866"">Sozialpsychologie</source>, <other prob=""0.4983"">Jg</other>. <volume prob=""0.9476"">47</volume>, Nr. <issue prob=""0.4456"">3</issue>, S. <fpage prob=""0.9989"">413</fpage> - <lpage prob=""0.9989"">442</lpage>.","{""author"": [[{""score"": ""0.9653"", ""surname"": ""Buchmann""}, {""score"": ""0.6419"", ""surname"": ""Marlis/Sacchi""}, {""given-names"": ""Stefan"", ""score"": ""0.9346""}]], ""year"": [{""score"": ""0.9998"", ""value"": ""1995a""}], ""title"": [{""score"": ""0.9997"", ""value"": ""Mehrdimensionale""}, {""score"": ""0.9999"", ""value"": ""Klassifikation""}, {""score"": ""0.9999"", ""value"": ""beruflicher""}, {""score"": ""0.9998"", ""value"": ""Verlaufsdaten.""}, {""score"": ""0.9958"", ""value"": ""Eine""}, {""score"": ""0.9973"", ""value"": ""Anwendung""}, {""score"": ""0.9977"", ""value"": ""auf""}, {""score"": ""0.9981"", ""value"": ""Berufslaufbahnen""}, {""score"": ""0.9978"", ""value"": ""zweier""}, {""score"": ""0.9973"", ""value"": ""Schweizer""}, {""score"": ""0.9897"", ""value"": ""Geburtskohorten""}], ""other"": [{""score"": ""0.5478"", ""value"": ""In""}, {""score"": ""0.4983"", ""value"": ""Jg""}], ""source"": [{""score"": ""0.9752"", ""value"": ""Kölner""}, {""score"": ""0.9765"", ""value"": ""Zeitschrift""}, {""score"": ""0.9727"", ""value"": ""für""}, {""score"": ""0.9749"", ""value"": ""Soziologie""}, {""score"": ""0.8860"", ""value"": ""und""}, {""score"": ""0.8866"", ""value"": ""Sozialpsychologie""}], ""volume"": [{""score"": ""0.9476"", ""value"": ""47""}], ""issue"": [{""score"": ""0.4456"", ""value"": ""3""}], ""page"": [{""score"": ""0.9989"", ""value"": ""413""}, {""score"": ""0.9989"", ""value"": ""442""}]}"
f1_588533,588533,"['csa-sa-200202025', 'csa-sa-200202025', ' iab-litdok-K030715901', ' csa-ssa-200201165', ' csa-assia-183336']",23060,"Valtonen, K. (2001) ‘Cracking Monopoly: Immigrants and Employment in Finland’, Journal of Ethnic and Migration Studies 27(3): 421–38.","Valtonen, K. (2001) ‘Cracking Monopoly: Immigrants and Employment in Finland’, Journal of Ethnic and Migration Studies 27(3): 421–38.","<author><surname prob=""0.9966"">Valtonen</surname>, <given-names prob=""0.9989"">K.</given-names></author> (<year prob=""1.0000"">2001</year>) ‘<title prob=""0.7983"">Cracking</title> <title prob=""0.8035"">Monopoly:</title> <title prob=""0.8075"">Immigrants</title> <title prob=""0.8166"">and</title> <title prob=""0.8201"">Employment</title> <title prob=""0.8143"">in</title> <title prob=""0.8073"">Finland</title>’, <source prob=""0.2420"">Journal</source> <source prob=""0.2795"">of</source> <source prob=""0.4047"">Ethnic</source> <source prob=""0.5193"">and</source> <source prob=""0.8693"">Migration</source> <source prob=""0.9161"">Studies</source> <volume prob=""0.9819"">27</volume> (<issue prob=""0.8631"">3</issue>): <fpage prob=""0.9997"">421</fpage> - <lpage prob=""0.9997"">38</lpage>.","{""author"": [[{""score"": ""0.9966"", ""surname"": ""Valtonen""}, {""given-names"": ""K."", ""score"": ""0.9989""}]], ""year"": [{""score"": ""1.0000"", ""value"": ""2001""}], ""title"": [{""score"": ""0.7983"", ""value"": ""Cracking""}, {""score"": ""0.8035"", ""value"": ""Monopoly:""}, {""score"": ""0.8075"", ""value"": ""Immigrants""}, {""score"": ""0.8166"", ""value"": ""and""}, {""score"": ""0.8201"", ""value"": ""Employment""}, {""score"": ""0.8143"", ""value"": ""in""}, {""score"": ""0.8073"", ""value"": ""Finland""}], ""source"": [{""score"": ""0.2420"", ""value"": ""Journal""}, {""score"": ""0.2795"", ""value"": ""of""}, {""score"": ""0.4047"", ""value"": ""Ethnic""}, {""score"": ""0.5193"", ""value"": ""and""}, {""score"": ""0.8693"", ""value"": ""Migration""}, {""score"": ""0.9161"", ""value"": ""Studies""}], ""volume"": [{""score"": ""0.9819"", ""value"": ""27""}], ""issue"": [{""score"": ""0.8631"", ""value"": ""3""}], ""page"": [{""score"": ""0.9997"", ""value"": ""421""}, {""score"": ""0.9997"", ""value"": ""38""}]}"
f1_1054002,1054002,"['gesis-solis-00339291', 'gesis-solis-00339291', ' dza-gerolit-545271304', ' iab-litdok-K050214N03', ' gesis-bib-60216']",20696,"Nöthen, Manuela (2005): Von der „traditionellen Familie“ zu „neuen Lebensformen“. Neuerungen in der Familienberichterstattung des Mikrozensus. In: Wirtschaft und Statistik 1/2005, S. 25-40.","Nöthen, Manuela (2005): Von der „traditionellen Familie“ zu „neuen Lebensformen“. Neuerungen in der Familienberichterstattung des Mikrozensus. In: Wirtschaft und Statistik 1/2005, S. 25-40.","<author><surname prob=""0.9935"">Nöthen</surname>, <given-names prob=""0.9933"">Manuela</given-names></author> (<year prob=""0.9994"">2005</year>): <title prob=""0.9643"">Von</title> <title prob=""0.9514"">der</title> <title prob=""0.8381"">„traditionellen</title> <title prob=""0.8346"">Familie“</title> <title prob=""0.8297"">zu</title> <title prob=""0.8179"">„neuen</title> <title prob=""0.8177"">Lebensformen“.</title> <title prob=""0.7942"">Neuerungen</title> <title prob=""0.8010"">in</title> <title prob=""0.8141"">der</title> <title prob=""0.8217"">Familienberichterstattung</title> <title prob=""0.8219"">des</title> <title prob=""0.8223"">Mikrozensus</title>. <other prob=""0.6940"">In</other>: <source prob=""0.9946"">Wirtschaft</source> <source prob=""0.9888"">und</source> <source prob=""0.9815"">Statistik</source> <source prob=""0.6398"">1-2005</source>, <source prob=""0.2804"">S</source>. <fpage prob=""0.9831"">25</fpage> - <lpage prob=""0.9831"">40</lpage>.","{""author"": [[{""score"": ""0.9935"", ""surname"": ""Nöthen""}, {""given-names"": ""Manuela"", ""score"": ""0.9933""}]], ""year"": [{""score"": ""0.9994"", ""value"": ""2005""}], ""title"": [{""score"": ""0.9643"", ""value"": ""Von""}, {""score"": ""0.9514"", ""value"": ""der""}, {""score"": ""0.8381"", ""value"": ""„traditionellen""}, {""score"": ""0.8346"", ""value"": ""Familie“""}, {""score"": ""0.8297"", ""value"": ""zu""}, {""score"": ""0.8179"", ""value"": ""„neuen""}, {""score"": ""0.8177"", ""value"": ""Lebensformen“.""}, {""score"": ""0.7942"", ""value"": ""Neuerungen""}, {""score"": ""0.8010"", ""value"": ""in""}, {""score"": ""0.8141"", ""value"": ""der""}, {""score"": ""0.8217"", ""value"": ""Familienberichterstattung""}, {""score"": ""0.8219"", ""value"": ""des""}, {""score"": ""0.8223"", ""value"": ""Mikrozensus""}], ""other"": [{""score"": ""0.6940"", ""value"": ""In""}], ""source"": [{""score"": ""0.9946"", ""value"": ""Wirtschaft""}, {""score"": ""0.9888"", ""value"": ""und""}, {""score"": ""0.9815"", ""value"": ""Statistik""}, {""score"": ""0.6398"", ""value"": ""1-2005""}, {""score"": ""0.2804"", ""value"": ""S""}], ""page"": [{""score"": ""0.9831"", ""value"": ""25""}, {""score"": ""0.9831"", ""value"": ""40""}]}"
f1_1020440,1020440,['csa-ps-200521787'],43681,"Letki, Natalia; Evans, Geofrey (2005): Endogenizing Social Trust: Democratization in East-Central Europe. In: British Journal of Political Science, Jg. 35, H. 3, S. 515–529.","Letki, Natalia; Evans, Geofrey (2005): Endogenizing Social Trust: Democratization in East-Central Europe. In: British Journal of Political Science, Jg. 35, H. 3, S. 515–529.","<author><surname prob=""0.9955"">Letki</surname>, <given-names prob=""0.9948"">Natalia</given-names></author>; <author><surname prob=""0.9695"">Evans</surname>, <given-names prob=""0.9840"">Geofrey</given-names></author> (<year prob=""1.0000"">2005</year>): <title prob=""0.9994"">Endogenizing</title> <title prob=""0.9999"">Social</title> <title prob=""0.9995"">Trust:</title> <title prob=""0.9992"">Democratization</title> <title prob=""0.9989"">in</title> <title prob=""0.9984"">East-Central</title> <title prob=""0.9945"">Europe</title>. <other prob=""0.5700"">In</other>: <source prob=""0.9873"">British</source> <source prob=""0.9878"">Journal</source> <source prob=""0.9834"">of</source> <source prob=""0.9823"">Political</source> <source prob=""0.9747"">Science</source>, <source prob=""0.5105"">Jg</source>. <volume prob=""0.9225"">35</volume>, H. <issue prob=""0.7860"">3</issue>, S. <fpage prob=""0.9989"">515</fpage> - <lpage prob=""0.9989"">529</lpage>.","{""author"": [[{""score"": ""0.9955"", ""surname"": ""Letki""}, {""given-names"": ""Natalia"", ""score"": ""0.9948""}], [{""score"": ""0.9695"", ""surname"": ""Evans""}, {""given-names"": ""Geofrey"", ""score"": ""0.9840""}]], ""year"": [{""score"": ""1.0000"", ""value"": ""2005""}], ""title"": [{""score"": ""0.9994"", ""value"": ""Endogenizing""}, {""score"": ""0.9999"", ""value"": ""Social""}, {""score"": ""0.9995"", ""value"": ""Trust:""}, {""score"": ""0.9992"", ""value"": ""Democratization""}, {""score"": ""0.9989"", ""value"": ""in""}, {""score"": ""0.9984"", ""value"": ""East-Central""}, {""score"": ""0.9945"", ""value"": ""Europe""}], ""other"": [{""score"": ""0.5700"", ""value"": ""In""}], ""source"": [{""score"": ""0.9873"", ""value"": ""British""}, {""score"": ""0.9878"", ""value"": ""Journal""}, {""score"": ""0.9834"", ""value"": ""of""}, {""score"": ""0.9823"", ""value"": ""Political""}, {""score"": ""0.9747"", ""value"": ""Science""}, {""score"": ""0.5105"", ""value"": ""Jg""}], ""volume"": [{""score"": ""0.9225"", ""value"": ""35""}], ""issue"": [{""score"": ""0.7860"", ""value"": ""3""}], ""page"": [{""score"": ""0.9989"", ""value"": ""515""}, {""score"": ""0.9989"", ""value"": ""529""}]}"
