ref_id,ref_text1,duplication,ref_text,article-title,editor,empty,given-names,issue,other,page,publisher,source,surname,url,volume,year
one_831418,"Bosch, G.: Qualifizieren statt entlassen - Beschäftigungspläne in der Praxis, Opladen 1990.","['gesis-solis-00135926', 'wzb-bib-85047', ' fes-bib-437860', ' bszbw-wao-025253182', ' wzb-bib-85047', ' ubk-opac-LY000026737', ' iab-litdok-I900417F09']","Bosch, G.: Qualifizieren statt entlassen - Beschäftigungspläne in der Praxis, Opladen 1990.","['Qualifizieren statt entlassen - Beschäftigungspläne in der Praxis,']",,,['G.:'],,['Opladen'],,,,"['Bosch,']",,,['1990.']
one_1064777,"Stahlmann, Günther (2006): 1 - Euro - Jobs zwischen Arbeitsvermittlung und Abstellgleis. In: Zeitschrift für Sozialhilfe und Sozialgesetzbuch, 131-143.","[' gesis-solis-00360757', 'gesis-solis-00360757', ' dzi-solit-0159225', 'iab-litdok-K060329801']","Stahlmann, Günther (2006): 1 - Euro - Jobs zwischen Arbeitsvermittlung und Abstellgleis. In: Zeitschrift für Sozialhilfe und Sozialgesetzbuch, 131-143.",['1 - Euro - Jobs zwischen Arbeitsvermittlung und Abstellgleis.'],,['In:'],['Günther'],,,['131-143.'],,"['Zeitschrift für Sozialhilfe und Sozialgesetzbuch,']","['Stahlmann,']",,,['(2006):']
one_646040,"Heins, Volker/Flitner, Michael: Biologische Ressourcen und „Life Politics"", in: Flitner et al. 1998, S. 13-38.",['gesis-solis-00244164'],"Heins, Volker/Flitner, Michael: Biologische Ressourcen und „Life Politics"", in: Flitner et al. 1998, S. 13-38.","['Biologische Ressourcen und „Life Politics"""",']",,"['in:', 'S.']","['Volker/Flitner, Michael:']",,,['13-38.'],,['Flitner et al.'],"['Heins,']",,,"['1998,']"
one_1137043,"Konrad, Kai und Holger Zschäpitz (2011), The Future of the Eurozone, CESifo Forum 12 (2), 46-49.","['csa-pais-2011-148398', ' wzb-bib-191874', ' csa-pais-2011-148398', 'wzb-bib-191866']","Konrad, Kai und Holger Zschäpitz (2011), The Future of the Eurozone, CESifo Forum 12 (2), 46-49.","['The Future of the Eurozone,']",,,['Kai'],"['(2),']",,['46-49.'],,['CESifo Forum'],"['Konrad,', 'und Holger Zschäpitz']",,['12'],"['(2011),']"
one_998715,"Cohen, Michael/March, James G./Olsen, Johan P. (1972), ""A Garbage Can Model of Organizational Choice"", in: Administrative Science Quarterly, 1, S. 1-26.",['csa-sa-73G1634'],"Cohen, Michael/March, James G./Olsen, Johan P. (1972), ""A Garbage Can Model of Organizational Choice"", in: Administrative Science Quarterly, 1, S. 1-26.","['""""A Garbage Can Model of Organizational Choice"""",']",,"['P.', 'in:', 'S.']","['James', 'Johan']",,,['1-26.'],,"['Administrative Science Quarterly,']","['Cohen, Michael/March,', 'G./Olsen,']",,"['1,']","['(1972),']"
one_714220,"Zukin, S. 1995. The culture of cities. Oxford: Blackwell.","['gesis-bib-94182', ' wzb-bib-105240']","Zukin, S. 1995. The culture of cities. Oxford: Blackwell.",['The culture of cities.'],,,['S.'],,['Oxford:'],,['Blackwell.'],,"['Zukin,']",,,['1995.']
one_326738,"Buchmann, Marlis/Sacchi, Stefan (1995a): Mehrdimensionale Klassifikation beruflicher Verlaufsdaten. Eine Anwendung auf Berufslaufbahnen zweier Schweizer Geburtskohorten. In: Kölner Zeitschrift für Soziologie und Sozialpsychologie, Jg. 47, Nr. 3, S. 413!442.","[' gesis-solis-00195744', ' iab-litdok-I951129D02', ' fis-bildung-373171', ' gesis-bib-37147', 'csa-sa-9603771']","Buchmann, Marlis/Sacchi, Stefan (1995a): Mehrdimensionale Klassifikation beruflicher Verlaufsdaten. Eine Anwendung auf Berufslaufbahnen zweier Schweizer Geburtskohorten. In: Kölner Zeitschrift für Soziologie und Sozialpsychologie, Jg. 47, Nr. 3, S. 413!442.",['Mehrdimensionale Klassifikation beruflicher Verlaufsdaten. Eine Anwendung auf Berufslaufbahnen zweier Schweizer Geburtskohorten.'],,"['In:', 'Jg.', 'Nr.', 'S.']",['Stefan'],"['3,']",,['413!442.'],,"['Kölner Zeitschrift für Soziologie und Sozialpsychologie,']","['Buchmann, Marlis/Sacchi,']",,"['47,']",['(1995a):']
one_588533,"Valtonen, K. (2001) ‘Cracking Monopoly: Immigrants and Employment in Finland’, Journal of Ethnic and Migration Studies 27(3): 421–38.","['csa-sa-200202025', ' csa-assia-183336', ' csa-ssa-200201165', ' iab-litdok-K030715901']","Valtonen, K. (2001) ‘Cracking Monopoly: Immigrants and Employment in Finland’, Journal of Ethnic and Migration Studies 27(3): 421–38.","['‘Cracking Monopoly: Immigrants and Employment in Finland’,']",,,['K.'],,,['421–38.'],,['Journal of Ethnic and Migration Studies'],"['Valtonen,']",,['27(3):'],['(2001)']
one_1054002,"Nöthen, Manuela (2005): Von der „traditionellen Familie“ zu „neuen Lebensformen“. Neuerungen in der Familienberichterstattung des Mikrozensus. In: Wirtschaft und Statistik 1/2005, S. 25-40.","[' gesis-bib-60216', ' dza-gerolit-545271304', ' iab-litdok-K050214N03', 'gesis-solis-00339291']","Nöthen, Manuela (2005): Von der „traditionellen Familie“ zu „neuen Lebensformen“. Neuerungen in der Familienberichterstattung des Mikrozensus. In: Wirtschaft und Statistik 1/2005, S. 25-40.",['Von der „traditionellen Familie“ zu „neuen Lebensformen“. Neuerungen in der Familienberichterstattung des Mikrozensus.'],,"['In:', 'S.']",['Manuela'],,,['25-40.'],,['Wirtschaft und Statistik'],"['Nöthen,']",,,"['(2005):', '1/2005,']"
one_1020440,"Letki, Natalia; Evans, Geofrey (2005): Endogenizing Social Trust: Democratization in East-Central Europe. In: British Journal of Political Science, Jg. 35, H. 3, S. 515–529.",['csa-ps-200521787'],"Letki, Natalia; Evans, Geofrey (2005): Endogenizing Social Trust: Democratization in East-Central Europe. In: British Journal of Political Science, Jg. 35, H. 3, S. 515–529.",['Endogenizing Social Trust: Democratization in East-Central Europe.'],,"['In:', 'Jg.', 'H.', 'S.']","['Natalia;', 'Geofrey']","['3,']",,['515–529.'],,"['British Journal of Political Science,']","['Letki,', 'Evans,']",,"['35,']",['(2005):']
one_543399,"Asdonk, J.; Bredeweg, U.; Kowol, U.: Innovation als rekursiver Prozeß. In: Zeitschrift für Soziologie, Heft 4, 20. Jg., 1991, S. 290-304.","['fis-bildung-111107', ' gesis-solis-00142226', ' gesis-bib-31861', 'gesis-solis-00142226', ' csa-sa-92Y4032']","Asdonk, J.; Bredeweg, U.; Kowol, U.: Innovation als rekursiver Prozeß. In: Zeitschrift für Soziologie, Heft 4, 20. Jg., 1991, S. 290-304.",['Innovation als rekursiver Prozeß.'],,"['In:', 'S.']","['J.;', 'U.;', 'U.:']",,"['Jg., 1991,']","['20.', '290-304.']",,"['Zeitschrift für Soziologie, Heft']","['Asdonk,', 'Bredeweg,', 'Kowol,']",,"['4,']",
one_841526,—— (1994) The Maritime Household in Northern Europe. Comparative Studies in Society and History 36(2):271-292.,"[' csa-sa-9500190', 'csa-ps-27338']",—— (1994) The Maritime Household in Northern Europe. Comparative Studies in Society and History 36(2):271-292.,['The Maritime Household in Northern Europe.'],,,,,,['36(2):271-292'],,['Comparative Studies in Society and History'],"['one_841526,——']",,,['(1994)']
one_650848,"Pryor, Frederic L. & Schaffer, David (1997): Wages and the University Educated: A Paradox Resolved. In: Monthly Labor Review 120 (7): 3–18.",['csa-pais-1997-1202720'],"Pryor, Frederic L. & Schaffer, David (1997): Wages and the University Educated: A Paradox Resolved. In: Monthly Labor Review 120 (7): 3–18.",['Wages and the University Educated: A Paradox Resolved.'],,['In:'],"['Frederic L.', 'David']",['(7):'],,['3–18.'],,['Monthly Labor Review'],"['Pryor,', ' Schaffer,']",,['120'],['(1997):']
one_6898,"Goldthorpe, J. H. (2002) “Globalisation and social class”, West European Politics, 25:1-28.","[' csa-ps-200300349', 'csa-sa-200301862', ' bszbw-wao-109431065']","Goldthorpe, J. H. (2002) “Globalisation and social class”, West European Politics, 25:1-28.","['“Globalisation and social class”,']",,,['J. H.'],,['West'],['25:1-28.'],"['European Politics,']",,"['Goldthorpe,']",,,['(2002)']
one_1089699,"Gornick, J. C., M. K. Meyers, K. E. Ross. 1997. „Supporting the Employment of Mothers: Policy Variation Across Fourteen Welfare States.“ Journal of European Social Policy 7 (1): 45–70.",['csa-assia-86336'],"Gornick, J. C., M. K. Meyers, K. E. Ross. 1997. „Supporting the Employment of Mothers: Policy Variation Across Fourteen Welfare States.“ Journal of European Social Policy 7 (1): 45–70.",,,,"['J.', 'M. K.', 'K. E. Ross.']",['(1):'],,['45–70.'],,['„Supporting the Employment of Mothers: Policy Variation Across Fourteen Welfare States.“ Journal of European Social Policy'],"['Gornick,', 'C.,', 'Meyers,']",,['7'],['1997.']
one_583651,"Carr, Patrick J./Napolitano, Laura/Keating, Jessica, 2007: We Never Call the Cops and Here is Why. A Qualitative Examination of Legal Cynicism in three Philadelphia Neighbourhoods. Criminology 45: 445-480.",['csa-sa-200730431'],"Carr, Patrick J./Napolitano, Laura/Keating, Jessica, 2007: We Never Call the Cops and Here is Why. A Qualitative Examination of Legal Cynicism in three Philadelphia Neighbourhoods. Criminology 45: 445-480.",['We Never Call the Cops and Here is Why.'],,,"['Patrick', 'Jessica,']",,,['445-480.'],,['A Qualitative Examination of Legal Cynicism in three Philadelphia Neighbourhoods. Criminology'],"['Carr,', 'J./Napolitano, Laura/Keating,']",,['45:'],['2007:']
