used_keys,combination
"('author', 'journal', 'number', 'title')","[[""'author'"", ""'journal'"", ""'number'"", ""'title'""], [""'journal'"", ""'number'"", ""'title'""], [""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'title'""], [""'author'"", ""'number'"", ""'title'""], [""'number'"", ""'title'""], [""'author'"", ""'title'""], [""'title'"", '']]"
"('doi', 'number', 'pages')","[[""'doi'"", ''], [""'doi'"", ""'number'""], [""'doi'"", ""'number'"", ""'pages'""], [""'doi'"", ""'pages'""]]"
"('number', 'pages')",[]
"('author', 'doi', 'number', 'pages', 'year')","[[""'author'"", ""'number'"", ""'pages'"", ""'year'""], [""'doi'"", ''], [""'doi'"", ""'number'""], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'number'""], [""'author'"", ""'doi'"", ""'pages'""], [""'author'"", ""'doi'"", ""'number'"", ""'year'""], [""'author'"", ""'doi'"", ""'number'"", ""'pages'""], [""'doi'"", ""'number'"", ""'pages'""], [""'doi'"", ""'year'""], [""'doi'"", ""'pages'"", ""'year'""], [""'author'"", ""'doi'"", ""'year'""], [""'author'"", ""'doi'"", ""'pages'"", ""'year'""], [""'doi'"", ""'pages'""], [""'doi'"", ""'number'"", ""'pages'"", ""'year'""], [""'author'"", ""'doi'"", ""'number'"", ""'pages'"", ""'year'""], [""'doi'"", ""'number'"", ""'year'""], [""'author'"", ""'number'"", ""'pages'""], [""'author'"", ""'pages'"", ""'year'""], [""'author'"", ""'pages'""], [""'author'"", ""'number'"", ""'year'""], [""'number'"", ""'pages'"", ""'year'""]]"
"('title', 'year')","[[""'title'"", ""'year'""], [""'title'"", '']]"
"('author', 'journal', 'title')","[[""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'title'""], [""'author'"", ""'title'""], [""'title'"", '']]"
"('author', 'journal', 'number', 'pages')","[[""'author'"", ""'journal'"", ""'pages'""], [""'author'"", ""'journal'"", ""'number'"", ""'pages'""], [""'journal'"", ""'pages'""], [""'journal'"", ""'number'"", ""'pages'""], [""'author'"", ""'number'"", ""'pages'""], [""'author'"", ""'pages'""]]"
"('author', 'doi', 'number', 'pages', 'title')","[[""'pages'"", ""'title'""], [""'author'"", ""'pages'"", ""'title'""], [""'number'"", ""'pages'"", ""'title'""], [""'author'"", ""'number'"", ""'pages'"", ""'title'""], [""'doi'"", ''], [""'doi'"", ""'number'""], [""'doi'"", ""'title'""], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'number'""], [""'author'"", ""'doi'"", ""'pages'""], [""'author'"", ""'doi'"", ""'number'"", ""'title'""], [""'doi'"", ""'number'"", ""'title'""], [""'author'"", ""'doi'"", ""'title'""], [""'doi'"", ""'pages'"", ""'title'""], [""'author'"", ""'doi'"", ""'number'"", ""'pages'""], [""'doi'"", ""'number'"", ""'pages'""], [""'author'"", ""'doi'"", ""'pages'"", ""'title'""], [""'doi'"", ""'number'"", ""'pages'"", ""'title'""], [""'doi'"", ""'pages'""], [""'author'"", ""'doi'"", ""'number'"", ""'pages'"", ""'title'""], [""'author'"", ""'number'"", ""'title'""], [""'author'"", ""'number'"", ""'pages'""], [""'number'"", ""'title'""], [""'author'"", ""'title'""], [""'author'"", ""'pages'""], [""'title'"", '']]"
"('author', 'title')","[[""'author'"", ""'title'""], [""'title'"", '']]"
"('pages', 'title')","[[""'pages'"", ""'title'""], [""'title'"", '']]"
"('number',)",[]
"('author', 'pages', 'year')","[[""'author'"", ""'pages'"", ""'year'""], [""'author'"", ""'pages'""]]"
"('year',)",[]
"('author', 'doi', 'journal', 'number', 'pages', 'year')","[[""'author'"", ""'number'"", ""'pages'"", ""'year'""], [""'doi'"", ''], [""'doi'"", ""'number'""], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'number'""], [""'author'"", ""'doi'"", ""'pages'""], [""'author'"", ""'doi'"", ""'number'"", ""'year'""], [""'author'"", ""'doi'"", ""'number'"", ""'pages'""], [""'doi'"", ""'number'"", ""'pages'""], [""'doi'"", ""'year'""], [""'doi'"", ""'pages'"", ""'year'""], [""'author'"", ""'doi'"", ""'year'""], [""'author'"", ""'doi'"", ""'pages'"", ""'year'""], [""'doi'"", ""'pages'""], [""'doi'"", ""'number'"", ""'pages'"", ""'year'""], [""'author'"", ""'doi'"", ""'number'"", ""'pages'"", ""'year'""], [""'doi'"", ""'number'"", ""'year'""], [""'author'"", ""'journal'"", ""'number'"", ""'year'""], [""'author'"", ""'journal'"", ""'year'""], [""'journal'"", ""'pages'"", ""'year'""], [""'journal'"", ""'number'"", ""'pages'"", ""'year'""], [""'author'"", ""'journal'"", ""'pages'""], [""'author'"", ""'journal'"", ""'number'"", ""'pages'"", ""'year'""], [""'author'"", ""'journal'"", ""'number'"", ""'pages'""], [""'author'"", ""'journal'"", ""'pages'"", ""'year'""], [""'journal'"", ""'pages'""], [""'journal'"", ""'number'"", ""'pages'""], [""'author'"", ""'number'"", ""'pages'""], [""'author'"", ""'pages'"", ""'year'""], [""'author'"", ""'pages'""], [""'author'"", ""'number'"", ""'year'""], [""'number'"", ""'pages'"", ""'year'""]]"
