used_keys,combination
"(""'doi'"", ""'journal'"", ""'pages'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'pages\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""']]"
"(""'doi'"", ""'pages'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'pages\'""', '""\'title\'""']]"
"(""'doi'"", ""'number'"", ""'pages'"")","[['""\'doi\'""', '']]"
"(""'author'"", ""'journal'"", ""'pages'"", ""'year'"")","[['""\'author\'""', '""\'pages\'""'], ['""\'journal\'""', '""\'pages\'""'], ['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'number'"",)",[]
"(""'journal'"", ""'number'"", ""'pages'"", ""'title'"")","[['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""']]"
"(""'author'"", ""'doi'"", ""'journal'"", ""'number'"", ""'pages'"")","[['""\'doi\'""', ''], ['""\'author\'""', '""\'pages\'""'], ['""\'journal\'""', '""\'pages\'""']]"
"(""'author'"", ""'doi'"", ""'journal'"", ""'number'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'journal'"", ""'number'"", ""'pages'"")","[['""\'journal\'""', '""\'pages\'""']]"
"(""'author'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'author\'""', '""\'title\'""']]"
"(""'author'"", ""'doi'"", ""'journal'"", ""'number'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'number\'""', '""\'title\'""'], ['""\'author\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""']]"
"(""'doi'"", ""'journal'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""']]"
"(""'doi'"", ""'number'"", ""'pages'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""']]"
"(""'author'"", ""'pages'"")","[['""\'author\'""', '""\'pages\'""']]"
"(""'doi'"", ""'journal'"", ""'number'"")","[['""\'doi\'""', '']]"
"(""'author'"", ""'number'"", ""'pages'"", ""'year'"")","[['""\'author\'""', '""\'pages\'""']]"
"(""'author'"", ""'journal'"", ""'title'"")","[['""\'author\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""']]"
"(""'doi'"", ""'journal'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""']]"
"(""'title'"",)",[]
"(""'author'"", ""'doi'"", ""'journal'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'author\'""', '""\'pages\'""'], ['""\'author\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""'], ['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'author'"", ""'doi'"", ""'journal'"", ""'number'"")","[['""\'doi\'""', '']]"
"(""'journal'"",)",[]
"(""'author'"", ""'doi'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'author\'""', '""\'title\'""']]"
"(""'journal'"", ""'number'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""']]"
"(""'author'"", ""'journal'"", ""'number'"", ""'title'"")","[['""\'number\'""', '""\'title\'""'], ['""\'author\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""']]"
"(""'author'"", ""'journal'"", ""'number'"", ""'year'"")","[['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'pages'"", ""'title'"")","[['""\'pages\'""', '""\'title\'""']]"
"(""'author'"",)",[]
"(""'doi'"", ""'pages'"")","[['""\'doi\'""', '']]"
"(""'author'"", ""'doi'"", ""'year'"")","[['""\'doi\'""', '']]"
"(""'author'"", ""'doi'"", ""'journal'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'pages'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""']]"
"(""'author'"", ""'doi'"", ""'pages'"")","[['""\'doi\'""', ''], ['""\'author\'""', '""\'pages\'""']]"
"(""'author'"", ""'doi'"", ""'journal'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'author\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'author'"", ""'doi'"", ""'pages'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'pages\'""', '""\'title\'""'], ['""\'author\'""', '""\'pages\'""'], ['""\'author\'""', '""\'title\'""']]"
"(""'doi'"", ""'journal'"", ""'number'"", ""'pages'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""']]"
"(""'doi'"", ""'number'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'number\'""', '""\'title\'""']]"
"(""'pages'"",)",[]
"(""'doi'"", ""'journal'"", ""'pages'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'journal\'""', '""\'pages\'""']]"
"(""'doi'"",)","[['""\'doi\'""', '']]"
"(""'author'"", ""'doi'"", ""'number'"", ""'pages'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'author\'""', '""\'pages\'""'], ['""\'author\'""', '""\'title\'""']]"
"(""'author'"", ""'doi'"", ""'number'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'number\'""', '""\'title\'""'], ['""\'author\'""', '""\'title\'""']]"
"(""'author'"", ""'number'"", ""'year'"")",[]
"(""'author'"", ""'doi'"", ""'number'"", ""'year'"")","[['""\'doi\'""', '']]"
"(""'author'"", ""'journal'"", ""'number'"", ""'pages'"", ""'year'"")","[['""\'author\'""', '""\'pages\'""'], ['""\'journal\'""', '""\'pages\'""'], ['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'author'"", ""'year'"")",[]
"(""'journal'"", ""'pages'"", ""'title'"")","[['""\'pages\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""']]"
"(""'author'"", ""'journal'"", ""'number'"")",[]
"(""'pages'"", ""'year'"")",[]
"(""'number'"", ""'pages'"")",[]
"(""'author'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'author\'""', '""\'pages\'""'], ['""\'author\'""', '""\'title\'""']]"
"(""'journal'"", ""'number'"", ""'year'"")",[]
"(""'author'"", ""'pages'"", ""'year'"")","[['""\'author\'""', '""\'pages\'""']]"
"(""'author'"", ""'doi'"", ""'number'"", ""'pages'"")","[['""\'doi\'""', ''], ['""\'author\'""', '""\'pages\'""']]"
"(""'author'"", ""'doi'"")","[['""\'doi\'""', '']]"
"(""'doi'"", ""'title'"")","[['""\'doi\'""', '']]"
"(""'author'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'author\'""', '""\'pages\'""'], ['""\'author\'""', '""\'title\'""']]"
