index,avg_precision,avg_recall,avg_tp,avg_fp
"('number', 'title', 'year')",1.0,0.8364188071093442,16.6,0.0
"('author', 'number', 'title', 'year')",1.0,0.8218171191553545,16.2,0.0
"('pages', 'title')",1.0,0.7041911498996907,13.2,0.0
"('author', 'pages', 'title')",1.0,0.7010923443875389,13.0,0.0
"('pages', 'title', 'year')",1.0,0.6858994107177576,12.7,0.0
"('author', 'pages', 'title', 'year')",1.0,0.6847118622118622,12.5,0.0
"('author', 'number', 'pages', 'year')",1.0,0.7166364681070563,11.1,0.0
"('number', 'pages', 'title')",1.0,0.7015912329844218,11.0,0.0
"('author', 'number', 'pages', 'title')",1.0,0.6894157231657232,10.8,0.0
"('number', 'pages', 'title', 'year')",1.0,0.7118400488400488,10.6,0.0
"('author', 'number', 'pages', 'title', 'year')",1.0,0.6874808524808527,10.4,0.0
"('doi', 'title')",1.0,1.0,1.0,0.0
"('author', 'doi')",1.0,1.0,1.0,0.0
"('author', 'doi', 'number', 'title')",1.0,1.0,1.0,0.0
"('doi', 'number', 'title')",1.0,1.0,1.0,0.0
"('author', 'doi', 'number')",1.0,1.0,1.0,0.0
"('doi', 'number')",1.0,1.0,1.0,0.0
"('author', 'doi', 'title')",1.0,1.0,0.75,0.0
"('doi',)",1.0,1.0,0.75,0.0
"('author', 'doi', 'number', 'title', 'year')",1.0,0.75,0.6666666666666666,0.0
"('author', 'doi', 'number', 'pages')",1.0,0.75,0.6666666666666666,0.0
"('doi', 'title', 'year')",1.0,0.75,0.6666666666666666,0.0
"('author', 'doi', 'pages')",1.0,0.6666666666666666,0.6666666666666666,0.0
"('author', 'doi', 'number', 'pages', 'title')",1.0,0.6666666666666666,0.6666666666666666,0.0
"('author', 'doi', 'title', 'year')",1.0,0.6666666666666666,0.6666666666666666,0.0
"('doi', 'pages', 'title', 'year')",1.0,0.6666666666666666,0.6666666666666666,0.0
"('author', 'doi', 'pages', 'title')",1.0,0.5,0.6666666666666666,0.0
"('doi', 'number', 'pages', 'title')",1.0,0.5,0.6666666666666666,0.0
"('doi', 'number', 'pages', 'year')",1.0,0.5,0.6666666666666666,0.0
"('author', 'doi', 'number', 'year')",1.0,0.6666666666666666,0.5,0.0
"('author', 'doi', 'pages', 'title', 'year')",1.0,0.6666666666666666,0.5,0.0
"('doi', 'number', 'title', 'year')",1.0,0.6666666666666666,0.5,0.0
"('doi', 'pages', 'year')",1.0,0.6666666666666666,0.5,0.0
"('doi', 'year')",1.0,0.6666666666666666,0.5,0.0
"('doi', 'number', 'year')",1.0,0.6666666666666666,0.5,0.0
"('doi', 'pages', 'title')",1.0,0.6666666666666666,0.5,0.0
"('author', 'doi', 'pages', 'year')",1.0,0.6666666666666666,0.5,0.0
"('author', 'doi', 'number', 'pages', 'year')",1.0,0.6666666666666666,0.5,0.0
"('author', 'doi', 'year')",1.0,0.6666666666666666,0.5,0.0
"('doi', 'number', 'pages')",1.0,0.6666666666666666,0.5,0.0
"('author', 'doi', 'number', 'pages', 'title', 'year')",1.0,0.6666666666666666,0.5,0.0
