used_keys,combination
"(""'author'"", ""'journal'"", ""'number'"", ""'year'"")","[['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'doi'"", ""'number'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'number\'""', '""\'title\'""']]"
"(""'journal'"", ""'pages'"", ""'year'"")","[['""\'journal\'""', '""\'pages\'""']]"
"(""'number'"", ""'pages'"", ""'title'"")","[['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""']]"
"(""'author'"", ""'title'"")",[]
"(""'author'"", ""'number'"", ""'pages'"", ""'year'"")","[['""\'author\'""', '""\'pages\'""', '""\'year\'""'], ['""\'author\'""', '""\'number\'""', '""\'pages\'""']]"
"(""'author'"", ""'doi'"", ""'pages'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'pages\'""', '""\'title\'""']]"
"(""'journal'"", ""'number'"", ""'pages'"", ""'year'"")","[['""\'journal\'""', '""\'pages\'""']]"
"(""'author'"", ""'doi'"", ""'journal'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'author'"", ""'journal'"", ""'pages'"", ""'title'"")","[['""\'pages\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""']]"
"(""'number'"", ""'year'"")",[]
"(""'author'"", ""'doi'"", ""'title'"")","[['""\'doi\'""', '']]"
"(""'doi'"", ""'number'"", ""'year'"")","[['""\'doi\'""', '']]"
"(""'author'"", ""'year'"")",[]
"(""'journal'"", ""'pages'"")","[['""\'journal\'""', '""\'pages\'""']]"
"(""'author'"", ""'doi'"", ""'number'"", ""'pages'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'author\'""', '""\'pages\'""', '""\'year\'""'], ['""\'author\'""', '""\'number\'""', '""\'pages\'""']]"
"(""'author'"", ""'doi'"", ""'journal'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'author'"",)",[]
"(""'doi'"", ""'journal'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'journal\'""', '""\'title\'""']]"
"(""'author'"", ""'journal'"", ""'number'"", ""'title'"")","[['""\'number\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""']]"
"(""'number'"", ""'pages'"", ""'year'"")",[]
"(""'author'"", ""'doi'"", ""'journal'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'journal\'""', '""\'title\'""']]"
"(""'author'"", ""'number'"")",[]
"(""'number'"",)",[]
"(""'author'"", ""'journal'"", ""'pages'"", ""'year'"")","[['""\'journal\'""', '""\'pages\'""'], ['""\'author\'""', '""\'pages\'""', '""\'year\'""'], ['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'journal'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'journal\'""', '""\'title\'""']]"
"(""'journal'"", ""'number'"", ""'pages'"", ""'title'"")","[['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""']]"
"(""'doi'"", ""'number'"", ""'pages'"")","[['""\'doi\'""', '']]"
"(""'author'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""']]"
"(""'author'"", ""'number'"", ""'title'"")","[['""\'number\'""', '""\'title\'""']]"
"(""'journal'"", ""'number'"")",[]
"(""'author'"", ""'doi'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'author\'""', '""\'pages\'""', '""\'year\'""']]"
"(""'author'"", ""'number'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'number\'""', '""\'title\'""']]"
"(""'year'"",)",[]
"(""'pages'"", ""'title'"")","[['""\'pages\'""', '""\'title\'""']]"
"(""'author'"", ""'doi'"", ""'pages'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'author\'""', '""\'pages\'""', '""\'year\'""']]"
"(""'author'"", ""'doi'"", ""'journal'"", ""'number'"", ""'pages'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'journal\'""', '""\'pages\'""'], ['""\'author\'""', '""\'pages\'""', '""\'year\'""'], ['""\'author\'""', '""\'journal\'""', '""\'year\'""'], ['""\'author\'""', '""\'number\'""', '""\'pages\'""']]"
"(""'doi'"", ""'title'"")","[['""\'doi\'""', '']]"
"(""'title'"",)",[]
"(""'journal'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""']]"
"(""'author'"", ""'journal'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""'], ['""\'author\'""', '""\'pages\'""', '""\'year\'""'], ['""\'author\'""', '""\'journal\'""', '""\'year\'""'], ['""\'author\'""', '""\'number\'""', '""\'pages\'""']]"
"(""'author'"", ""'doi'"", ""'number'"", ""'pages'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'author\'""', '""\'number\'""', '""\'pages\'""']]"
"(""'author'"", ""'number'"", ""'year'"")",[]
"(""'doi'"", ""'journal'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'journal\'""', '""\'title\'""']]"
"(""'journal'"", ""'title'"")","[['""\'journal\'""', '""\'title\'""']]"
"(""'doi'"", ""'year'"")","[['""\'doi\'""', '']]"
"(""'journal'"", ""'number'"", ""'pages'"")","[['""\'journal\'""', '""\'pages\'""']]"
"(""'doi'"",)","[['""\'doi\'""', '']]"
"(""'author'"", ""'journal'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'doi'"", ""'number'"")","[['""\'doi\'""', '']]"
"(""'author'"", ""'doi'"", ""'journal'"", ""'number'"", ""'pages'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""'], ['""\'author\'""', '""\'number\'""', '""\'pages\'""']]"
"(""'journal'"", ""'year'"")",[]
"(""'author'"", ""'doi'"", ""'number'"")","[['""\'doi\'""', '']]"
"(""'author'"", ""'number'"", ""'pages'"")","[['""\'author\'""', '""\'number\'""', '""\'pages\'""']]"
"(""'doi'"", ""'journal'"", ""'year'"")","[['""\'doi\'""', '']]"
"(""'author'"", ""'journal'"", ""'number'"", ""'pages'"", ""'year'"")","[['""\'journal\'""', '""\'pages\'""'], ['""\'author\'""', '""\'pages\'""', '""\'year\'""'], ['""\'author\'""', '""\'journal\'""', '""\'year\'""'], ['""\'author\'""', '""\'number\'""', '""\'pages\'""']]"
"(""'author'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'author\'""', '""\'pages\'""', '""\'year\'""'], ['""\'author\'""', '""\'number\'""', '""\'pages\'""']]"
"(""'author'"", ""'doi'"", ""'journal'"", ""'number'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'author'"", ""'doi'"", ""'journal'"", ""'number'"", ""'pages'"")","[['""\'doi\'""', ''], ['""\'journal\'""', '""\'pages\'""'], ['""\'author\'""', '""\'number\'""', '""\'pages\'""']]"
"(""'doi'"", ""'pages'"", ""'year'"")","[['""\'doi\'""', '']]"
"(""'author'"", ""'journal'"", ""'number'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'author'"", ""'journal'"")",[]
"(""'author'"", ""'doi'"", ""'number'"", ""'pages'"")","[['""\'doi\'""', ''], ['""\'author\'""', '""\'number\'""', '""\'pages\'""']]"
"(""'author'"", ""'doi'"", ""'journal'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""'], ['""\'author\'""', '""\'pages\'""', '""\'year\'""'], ['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'doi'"", ""'journal'"", ""'number'"", ""'pages'"")","[['""\'doi\'""', ''], ['""\'journal\'""', '""\'pages\'""']]"
"(""'doi'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""']]"
"(""'journal'"", ""'number'"", ""'year'"")",[]
