ref_id;sowiport_id;ssoar_id;ref_text;original_table;sowi_IdDuplicates;bad duplicates;
831418;wzb-bib-85047;10037.0;Bosch, G.: Qualifizieren statt entlassen - Beschäftigungspläne in der Praxis, Opladen 1990.;table1;[gesis-solis-00135926, bszbw-wao-025253182, iab-litdok-I900417F09, ubk-opac-LY000026737, wzb-bib-85047, fes-bib-437860];;
1064777;gesis-solis-00360757;31981.0;Stahlmann, Günther (2006): 1 - Euro - Jobs zwischen Arbeitsvermittlung und Abstellgleis. In: Zeitschrift für Sozialhilfe und Sozialgesetzbuch, 131-143.;table1;[iab-litdok-K060329801, gesis-solis-00360757, dzi-solit-0159225];;
646040;gesis-solis-00244164;12608.0;"Heins, Volker/Flitner, Michael: Biologische Ressourcen und „Life Politics"", in: Flitner et al. 1998, S. 13-38.";table1;null;;
1137043;csa-pais-2011-148398;39214.0;Konrad, Kai und Holger Zschäpitz (2011), The Future of the Eurozone, CESifo Forum 12 (2), 46-49.;table1;[wzb-bib-191866, wzb-bib-191874, csa-pais-2011-148398];wzb-bib-194114, wzb-bib-191870;
998715;csa-sa-73G1634;35159.0;"Cohen, Michael/March, James G./Olsen, Johan P. (1972), ""A Garbage Can Model of Organizational Choice"", in: Administrative Science Quarterly, 1, S. 1-26.";table1;null;;
714220;gesis-bib-94182;5666.0;Zukin, S. 1995. The culture of cities. Oxford: Blackwell.;table1;[gesis-bib-94182, wzb-bib-105240];;
326738;csa-sa-9603771;5778.0;Buchmann, Marlis/Sacchi, Stefan (1995a): Mehrdimensionale Klassifikation beruflicher Verlaufsdaten. Eine Anwendung auf Berufslaufbahnen zweier Schweizer Geburtskohorten. In: Kölner Zeitschrift für Soziologie und Sozialpsychologie, Jg. 47, Nr. 3, S. 413!442.;table1;[csa-sa-9603771, gesis-bib-37147, gesis-solis-00195744, fis-bildung-373171, iab-litdok-I951129D02];;
588533;csa-sa-200202025;23060.0;Valtonen, K. (2001) ‘Cracking Monopoly: Immigrants and Employment in Finland’, Journal of Ethnic and Migration Studies 27(3): 421–38.;table1;[csa-sa-200202025, iab-litdok-K030715901, csa-ssa-200201165, csa-assia-183336];;
1054002;gesis-solis-00339291;20696.0;Nöthen, Manuela (2005): Von der „traditionellen Familie“ zu „neuen Lebensformen“. Neuerungen in der Familienberichterstattung des Mikrozensus. In: Wirtschaft und Statistik 1/2005, S. 25-40.;table1;[gesis-solis-00339291, dza-gerolit-545271304, iab-litdok-K050214N03, gesis-bib-60216];;
1020440;csa-ps-200521787;43681.0;"Letki, Natalia; Evans, Geofrey (2005): Endogenizing Social Trust: Democratization in East-Central Europe. In: British Journal of Political Science, Jg. 35, H. 3, S. 515–529.";table1;null;;
543399;gesis-solis-00142226;23795.0;"Asdonk, J.; Bredeweg, U.; Kowol, U.: Innovation als rekursiver Prozeß. In: Zeitschrift für Soziologie, Heft 4, 20. Jg., 1991, S. 290-304.";table1;[fis-bildung-111107, csa-sa-92Y4032, gesis-solis-00142226, gesis-bib-31861];;
841526;csa-ps-27338;27172.0;—— (1994) The Maritime Household in Northern Europe. Comparative Studies in Society and History 36(2):271-292.;table1;[csa-ps-27338, csa-sa-9500190];;
650848;csa-pais-1997-1202720;30802.0;Pryor, Frederic L. & Schaffer, David (1997): Wages and the University Educated: A Paradox Resolved. In: Monthly Labor Review 120 (7): 3–18.;table1;null;;
6898;csa-sa-200301862;37747.0;Goldthorpe, J. H. (2002) “Globalisation and social class”, West European Politics, 25:1-28.;table1;[csa-sa-200301862, bszbw-wao-109431065, csa-ps-200300349];;
1089699;csa-assia-86336;6563.0;Gornick, J. C., M. K. Meyers, K. E. Ross. 1997. „Supporting the Employment of Mothers: Policy Variation Across Fourteen Welfare States.“ Journal of European Social Policy 7 (1): 45–70.;table1;null;;
583651;csa-sa-200730431;36469.0;Carr, Patrick J./Napolitano, Laura/Keating, Jessica, 2007: We Never Call the Cops and Here is Why. A Qualitative Examination of Legal Cynicism in three Philadelphia Neighbourhoods. Criminology 45: 445-480.;table1;null;;
912865;gesis-solis-00202664;10004.0;Zapf, W. (1996): Die Modernisierungstheorie und unterschiedliche Pfade der gesellschaftlichen Entwicklung. In: Leviathan, Jg. 24/1996, Heft 1, S. 63ff.;table1;[bszbw-wao-101868464, gesis-solis-00202664];wzb-bib-164415;
745407;fis-bildung-579370;11518.0;"Kuhlmann, E.; Matthies, H.; Oppen, M.; Simon, D. (2000): Der Wissenschaftsbetrieb als Arena der Geschlechterdifferenzierung. Discussion Paper P 00- 601 des Wissenschaftszentrums Berlin für Sozialforschung, Berlin.";table1;[gesis-solis-00305158, gesis-ssoar-11677, gesis-bib-46807, fis-bildung-579370];wzb-bib-166318;
211032;wzb-bib-134281;16549.0;Rogers, Everett M. (1995) Diffusion of Innovations. New York.;table1;[ubk-opac-LY000367148, wzb-bib-134281];;
250243;gesis-solis-00218384;33211.0;"Brüderl, J.; Preisendörfer, P.; Ziegler, R. (1996): Der Erfolg neu gegründeter Betriebe – eine empirische Studie zu den Chancen und Risiken von Unternehmensgründungen, Betriebswirtschaftliche Schriften 140, Berlin.";table1;[gesis-solis-00218384, iab-litdok-I960502F46];fis-bildung-398246;
338906;csa-ps-200406186;50016.0;Neyer, J. (2003) Discourse and Order in the EU: A Deliberative Approach to Multi-Level Governance. JCMS 41 (4).;table1;[csa-ps-200406186, bszbw-wao-106960261];;
85492;ubk-opac-LY000077123;26756.0;Aiken, L. S., & West, S. G. (1991). Multiple Regression: Testing and interpreting interactions. Newbury Park, CA: Sage publications.;table1;[ubk-opac-LY000077123, gesis-bib-92750];wzb-bib-144521;
474285;gesis-solis-00112587;2898.0;LEITHÄUSER T., VOLMERG, B. (1988): Psychoanalyse in der Sozialforschung. Opladen: Westdeutscher Verlag;table1;null;;
63855;csa-pais-2008-168725;45531.0;Becker, Una 2007: Light at the End of the Tunnel? The Sixth Review Conference of the Biological Weapons Convention, PRIF Reports No. 79, Frankfurt: PRIF.;table1;[csa-pais-2008-168725, gesis-ssoar-28460, bszbw-wao-389645443];fes-bib-66837;
909665;csa-assia-93831;22779.0;Harasty, A. S. (1997). The interpersonal nature of social stereotypes: Differential discussion patterns about ingroups and outgroups. Personality and Social Psychology Bulletin, 23, 270–284.;table1;null;;
68361;gesis-bib-88834;34774.0;Meyer-Dohm, P. (1965): Sozialökonomische Aspekte der Konsumfreiheit. Untersuchungen zur Stellung des Konsumenten in der marktwirtschaftlichen Ordnung, Freiburg: Rombach.;table1;[gesis-bib-88834, wzb-bib-89308, fes-bib-665795];fes-bib-665795;
113686;csa-ps-307008;44114.0;Hellman, J. (1998): Winners Take All: The Politics of Partial Reform in Postcommunist Transitions. In: World Politics, Jg. 50, H. 2, S. 203–234.;table1;[csa-ps-307008, bszbw-wao-104922699];;
427257;gesis-solis-00317664;52055.0;"Heimbach-Steins, M.; Kruip, G. (Hrsg.) (2003): Bildung und Beteiligungsgerechtigkeit. Sozialethische Sondierungen. Bielefeld (wbv) 2003.";table1;null;;
1065426;fis-bildung-547686;31730.0;Steinke, Ines (1999). Kriterien qualitativer Forschung. Weinheim: Juventa;table1;[fis-bildung-547686, dza-gerolit-301438676, gesis-solis-00272267, iab-litdok-K020711F18, wzb-bib-123864];;
177356;csa-ps-200316796;6103.0;Haltern, Ulrich (2003). Pathos and Patina: The Failure and Promise of Constitutionalism in the European Imagination, in: European Law Journal, 9(1), 14 44.;table1;null;;
812982;csa-sa-9509211;11647.0;Lauterbach, W. (1995): Die gemeinsame Lebenszeit von Familiengenerationen. Zeitschrift für Soziologie 24, 22-41.;table1;[gesis-solis-00188853, dzi-solit-0071598, fis-bildung-311163, csa-sa-9509211, gesis-bib-31969];;
829728;wzb-bib-79560;37178.0;Tilly, C. (1978). From mobilization to revolution. Reading, UK: Addison-Wesley.;table1;[wzb-bib-79560, ubk-opac-HL002205882, gesis-bib-89890];;
3986;gesis-solis-00556271;38385.0;Angermüller, Johannes. 2010. Wissenschaft zählen. Regieren im digitalen Panoptikum. Leviathan. Berliner Zeitschrift für Sozialwissenschaft. Sonderheft 25: Sichtbarkeitsregime. Überwachung, Sicherheit und Privatheit im 21. Jahrhundert, ed. Leon Hempel, Susanne Krasmann and Ulrich Bröckling.;table1;[gesis-solis-00556271, dzi-solit-000189864];;
